"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
29140-00002,5·18 기념,근린공원,광주광역시 서구 내방로 152 (쌍촌동),광주광역시 서구 쌍촌동 1268,35.15830455,126.8575556,20985.6,6,7,177,4,137,1994-11-12,광주광역시,062-613-7905,2020-07-21
29140-00003,시민,근린공원,광주광역시 서구 상무민주로 61 (쌍촌동),광주광역시 서구 치평동1162,35.1557495,126.8585829,170384.9,8,3,157,6,429,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00004,마재,근린공원,광주광역시 서구 상무자유로 73 (치평동),광주광역시 서구 금호동 789,35.1522176,126.8422192,18267.3,2,4,48,3,18,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00005,신암,근린공원,광주광역시 서구 상무공원로 101 (치평동),광주광역시 서구 풍암동 1126,35.15339511,126.8410975,11417.7,3,0,39,0,20,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00006,풍암,근린공원,광주광역시 서구 상무자유로 59 (치평동),광주광역시 서구 풍암동 1065,35.15343095,126.8409306,14344.9,0,0,9,0,0,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00007,상무2지구근린1,근린공원,,광주광역시 서구 유촌동 840-2,35.1307905,126.8602629,5756,0,0,25,0,7,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00008,상무2지구근린2,근린공원,광주광역시 서구 풍암2로 26 (풍암동),광주광역시 서구 쌍촌동 1313-1,35.1248232,126.8791752535,8451.8,0,0,36,0,17,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00009,상무2지구근린3,근린공원,,광주광역시 서구 쌍촌동 1337-1,35.161629,126.861471,9997.5,1,0,18,0,11,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00010,상무2지구근린4,근린공원,,광주광역시 서구 쌍촌동 1339,35.152035,126.863733,1462,0,0,9,0,0,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00011,상무4지구근린1,근린공원,,광주광역시 서구 유촌동 869,35.162781,126.859732,25250.5,9,22,89,0,33,1996-06-29,광주광역시 서구,062-360-7512,2020-07-21
29140-00012,상록,근린공원,,광주광역시 서구 농성동311-1,35.1556445323,126.8886003310,18128,1,0,69,2,7,2003-11-15,광주광역시,062-613-4233,2020-07-21
