ID,지역 명,시설구분,시설명,상세주소,위도,경도,수용면적,수용인원
1,광주광역시 서구 광천동,운동장,효광초등학교,광주 서구 광천2길 33,35.16664606,126.8796935,3037,3681
2,광주광역시 서구 치평동,운동장,치평초등학교,광주 서구 상무평화로 43,35.14870753,126.8436805,2658,3222
3,광주광역시 서구 화정동,운동장,화정초등학교,광주 서구 월드컵4강로146번길 10,35.148943,126.871878,3485,4224
4,광주광역시 서구 화정동,운동장,성진초등학교,광주 서구 학생독립로 16,35.14324502,126.8663325,2900,3515
5,광주광역시 서구 세하동,운동장,송학초등학교,광주 서구 눌재로 408,35.11360247,126.8304529,3047,3693
6,광주광역시 서구 동천동,운동장,빛고을초등학교,광주 서구 동천로 7,35.169277,126.859426,4500,5455
7,광주광역시 서구 치평동,운동장,계수초등학교,광주 서구 상무시민로 51,35.1558926,126.8448756,3514,4259
8,광주광역시 서구 화정동,운동장,주월초등학교,광주 서구 화운로 36,35.14454434,126.8838771,1584,1920
9,광주광역시 서구 금호동,운동장,상무초등학교,광주 서구 금호운천길 67,35.1408286,126.855811,4907,5948
10,광주광역시 서구 양동,운동장,양동초등학교,광주 서구 경열로121번길 5,35.15411073,126.8981892,1457,1766
11,광주광역시 서구 농성동,운동장,광천초등학교,광주 서구 월산로 266,35.159274,126.889983,1650,2000
12,광주광역시 서구 유촌동,운동장,유덕초등학교,광주 서구 상무버들로16번길 6-10,35.16493436,126.8627242,3442,4172
13,광주광역시 서구 유촌동,운동장,극락초등학교,광주 서구 상무버들로 54번길 5,35.16567733,126.8573096,5796,7025
14,광주광역시 서구 치평동,운동장,운천초등학교,광주 서구 치평로 59,35.15244354,126.8467584,2418,2931
15,광주광역시 서구 쌍촌동,운동장,서광초등학교,광주 서구 상무오월로38번길 36,35.15426809,126.8645804,11100,13455
16,광주광역시 서구 쌍촌동,운동장,금호초등학교,광주 서구 금부로95번길 26-11,35.14260773,126.8594159,5095,6176
17,광주광역시 서구 화정동,운동장,광주서초등학교,광주 서구 화운로194번길 6,35.15555815,126.8777046,4558,5525
18,광주광역시 서구 화정동,운동장,염주초등학교,광주 서구염화로134번길 28,35.14087633,126.8788245,8201,9941
19,광주광역시 서구 화정동,운동장,화정남초등학교,광주 서구 염화로 37,35.13804424,126.8721316,3037,3681
20,광주광역시 서구 금호동,운동장,만호초등학교,광주 서구 금화로 53,35.13267959,126.8543261,2533,3070
21,광주광역시 서구 금호동,운동장,마재초등학교,광주 서구 마재로 27,35.13059993,126.8628739,4200,5091
22,광주광역시 서구 금호동,운동장,화개초등학교,광주 서구 화개중앙로 48,35.12497144,126.8569202,3795,4600
23,광주광역시 서구 풍암동,운동장,풍암초등학교,광주 서구 풍암중알로 8,35.12341042,126.8754239,2700,3273
24,광주광역시 서구 풍암동,운동장,운리초등학교,광주 서구 풍암신흥로11번길,35.123309,126.865727,2873,3482
25,광주광역시 서구 풍암동,운동장,신암초등학교,광주 서구 풍암2로 56,35.12277406,126.8810334,2786,3377
26,광주광역시 서구 치평동,운동장,전남중학교,광주 서구 상무공원로 70,35.15078115,126.843677,3792,4596
27,광주광역시 서구 쌍촌동,운동장,상무중학교,광주 서구 운천로 142,35.14508143,126.8579356,3248,3937
28,광주광역시 서구 치평동,운동장,치평중학교,광주 서구 상무평화로43,35.14512234,126.8590694,5821,7056
29,광주광역시 서구 쌍촌동,운동장,효광중학교,광주 서구 쌍촌로15번길 8,35.14676736,126.863323,5952,7215
30,광주광역시 서구 화정2동,운동장,화정중학교,광주 서구 화운로 53 ,35.1446457,126.8819358,11958,14495
31,광주광역시 서구 금호동,운동장,광주중학교,광주 서구 화개중앙로 60,35.12550364,126.8559359,3150,3818
32,광주광역시 서구 동천동,운동장,대자중학교,광주 서구 하남대로 680번길 27,35.1688307,126.8674747,3549,4302
33,광주광역시 서구 매월동,운동장,대동고등학교,광주 서구 전평길50,35.11944358,126.848975,7395,8964
34,광주광역시 서구 화정동,운동장,광주여자고등학교,광주 서구 상무대로1014번길 43,35.14800014,126.8733557,3004,3641
35,광주광역시 서구 쌍촌동,운동장,상무고등학교,광주 서구 상무민주로32번길 28,35.15484334,126.8602662,5576,6759
