,month,TIME,W_MAX
0,1월,0,10738
1,1월,1,5890
2,1월,2,5083
3,1월,3,4714
4,1월,4,4597
5,1월,5,5263
6,1월,6,7561
7,1월,7,16141
8,1월,8,33359
9,1월,9,75109
10,1월,10,90678
11,1월,11,95215
12,1월,12,91642
13,1월,13,94245
14,1월,14,95808
15,1월,15,95377
16,1월,16,92704
17,1월,17,87780
18,1월,18,73707
19,1월,19,44877
20,1월,20,32376
21,1월,21,25229
22,1월,22,17752
23,1월,23,12879
24,2월,0,13670
25,2월,1,8569
26,2월,2,7555
27,2월,3,6980
28,2월,4,6920
29,2월,5,7584
30,2월,6,9546
31,2월,7,18793
32,2월,8,38388
33,2월,9,81280
34,2월,10,97569
35,2월,11,102069
36,2월,12,98088
37,2월,13,101853
38,2월,14,102722
39,2월,15,102134
40,2월,16,99179
41,2월,17,94206
42,2월,18,76927
43,2월,19,48216
44,2월,20,36293
45,2월,21,28976
46,2월,22,21367
47,2월,23,16622
48,3월,0,10601
49,3월,1,6818
50,3월,2,5432
51,3월,3,4476
52,3월,4,4467
53,3월,5,6585
54,3월,6,9423
55,3월,7,16920
56,3월,8,31076
57,3월,9,69628
58,3월,10,89088
59,3월,11,96625
60,3월,12,100704
61,3월,13,95639
62,3월,14,91576
63,3월,15,88791
64,3월,16,86322
65,3월,17,81824
66,3월,18,67228
67,3월,19,42273
68,3월,20,31336
69,3월,21,24934
70,3월,22,18865
71,3월,23,11468
72,4월,0,12959
73,4월,1,8746
74,4월,2,8115
75,4월,3,7856
76,4월,4,7892
77,4월,5,8502
78,4월,6,10801
79,4월,7,19327
80,4월,8,42165
81,4월,9,93947
82,4월,10,107677
83,4월,11,111153
84,4월,12,107364
85,4월,13,109447
86,4월,14,109084
87,4월,15,100253
88,4월,16,96568
89,4월,17,90322
90,4월,18,75419
91,4월,19,46833
92,4월,20,34387
93,4월,21,27255
94,4월,22,21588
95,4월,23,14991
96,5월,0,11105
97,5월,1,7092
98,5월,2,6344
99,5월,3,5801
100,5월,4,5055
101,5월,5,5732
102,5월,6,7981
103,5월,7,18152
104,5월,8,41924
105,5월,9,95148
106,5월,10,109268
107,5월,11,112157
108,5월,12,107541
109,5월,13,110143
110,5월,14,110149
111,5월,15,100750
112,5월,16,97554
113,5월,17,89352
114,5월,18,73142
115,5월,19,44627
116,5월,20,32931
117,5월,21,26260
118,5월,22,20118
119,5월,23,13336
120,6월,0,11225
121,6월,1,6577
122,6월,2,5701
123,6월,3,5855
124,6월,4,5402
125,6월,5,6388
126,6월,6,8517
127,6월,7,18181
128,6월,8,41453
129,6월,9,96524
130,6월,10,110295
131,6월,11,113670
132,6월,12,108644
