,STD_YM,TIME,A_MAX
0,2018-07,0,320643
1,2018-07,1,319054
2,2018-07,2,317779
3,2018-07,3,316230
4,2018-07,4,314940
5,2018-07,5,313654
6,2018-07,6,313169
7,2018-07,7,312426
8,2018-07,8,321537
9,2018-07,9,336280
10,2018-07,10,340146
11,2018-07,11,339031
12,2018-07,12,337453
13,2018-07,13,339538
14,2018-07,14,338531
15,2018-07,15,340019
16,2018-07,16,337895
17,2018-07,17,335670
18,2018-07,18,333981
19,2018-07,19,330386
20,2018-07,20,329289
21,2018-07,21,326376
22,2018-07,22,323441
23,2018-07,23,321572
24,2018-08,0,322270
25,2018-08,1,316427
26,2018-08,2,315535
27,2018-08,3,315418
28,2018-08,4,312138
29,2018-08,5,311306
30,2018-08,6,309042
31,2018-08,7,307055
32,2018-08,8,319866
33,2018-08,9,326779
34,2018-08,10,330412
35,2018-08,11,420222
36,2018-08,12,324390
37,2018-08,13,324229
38,2018-08,14,323653
39,2018-08,15,327844
40,2018-08,16,336456
41,2018-08,17,346293
42,2018-08,18,344926
43,2018-08,19,406667
44,2018-08,20,332885
45,2018-08,21,348414
46,2018-08,22,339113
47,2018-08,23,330879
48,2018-09,0,332581
49,2018-09,1,325438
50,2018-09,2,322177
51,2018-09,3,317406
52,2018-09,4,311195
53,2018-09,5,308149
54,2018-09,6,309229
55,2018-09,7,315695
56,2018-09,8,336983
57,2018-09,9,345179
58,2018-09,10,351651
59,2018-09,11,351058
60,2018-09,12,352054
61,2018-09,13,355645
62,2018-09,14,354427
63,2018-09,15,354649
64,2018-09,16,356196
65,2018-09,17,358963
66,2018-09,18,363432
67,2018-09,19,359401
68,2018-09,20,353490
69,2018-09,21,347269
70,2018-09,22,343821
71,2018-09,23,339652
72,2018-10,0,319502
73,2018-10,1,310113
74,2018-10,2,305498
75,2018-10,3,303662
76,2018-10,4,300128
77,2018-10,5,297234
78,2018-10,6,298248
79,2018-10,7,303407
80,2018-10,8,323824
81,2018-10,9,333221
82,2018-10,10,336069
83,2018-10,11,341299
84,2018-10,12,351538
85,2018-10,13,350842
86,2018-10,14,345427
87,2018-10,15,343362
88,2018-10,16,343768
89,2018-10,17,343830
90,2018-10,18,344758
91,2018-10,19,342961
92,2018-10,20,338169
93,2018-10,21,331191
94,2018-10,22,328210
95,2018-10,23,321304
96,2018-11,0,323046
97,2018-11,1,319364
98,2018-11,2,318616
99,2018-11,3,323121
100,2018-11,4,310235
101,2018-11,5,306784
102,2018-11,6,307924
103,2018-11,7,310426
104,2018-11,8,327823
105,2018-11,9,332572
106,2018-11,10,337159
107,2018-11,11,337180
108,2018-11,12,344448
109,2018-11,13,341245
110,2018-11,14,340172
111,2018-11,15,341647
112,2018-11,16,344371
113,2018-11,17,349070
114,2018-11,18,349429
115,2018-11,19,347076
116,2018-11,20,401310
117,2018-11,21,337231
118,2018-11,22,332334
119,2018-11,23,327428
120,2018-12,0,338449
121,2018-12,1,325956
122,2018-12,2,319377
123,2018-12,3,316128
124,2018-12,4,310071
125,2018-12,5,310865
126,2018-12,6,313182
127,2018-12,7,318238
128,2018-12,8,340341
129,2018-12,9,353473
130,2018-12,10,359083
131,2018-12,11,358305
132,2018-12,12,358068
133,2018-12,13,361247
134,2018-12,14,362781
135,2018-12,15,363879
136,2018-12,16,362023
137,2018-12,17,363955
138,2018-12,18,364307
139,2018-12,19,364208
140,2018-12,20,374517
141,2018-12,21,352061
142,2018-12,22,360030
143,2018-12,23,368638
144,2019-01,0,337792
145,2019-01,1,333730
146,2019-01,2,333315
147,2019-01,3,331711
148,2019-01,4,328877
149,2019-01,5,325756
150,2019-01,6,323127
151,2019-01,7,324746
152,2019-01,8,329147
153,2019-01,9,350552
154,2019-01,10,357453
155,2019-01,11,360019
156,2019-01,12,360866
157,2019-01,13,363854
158,2019-01,14,362456
159,2019-01,15,361485
160,2019-01,16,361042
161,2019-01,17,358207
162,2019-01,18,355014
