,month,TIME,F_MAX
0,1월,0,562.2807000000003
1,1월,1,478.27399999999994
2,1월,2,479.8471000000003
3,1월,3,484.58489999999983
4,1월,4,487.33070000000004
5,1월,5,487.96120000000013
6,1월,6,487.96959999999996
7,1월,7,487.18259999999975
8,1월,8,470.90800000000024
9,1월,9,471.0813
10,1월,10,478.6092000000001
11,1월,11,485.5168999999999
12,1월,12,489.80199999999996
13,1월,13,495.9896999999997
14,1월,14,486.91060000000016
15,1월,15,488.4063999999995
16,1월,16,491.0100000000001
17,1월,17,504.02160000000003
18,1월,18,507.3411000000001
19,1월,19,520.2793000000003
20,1월,20,525.7048
21,1월,21,534.1898999999996
22,1월,22,538.2226000000004
23,1월,23,562.8937999999995
24,2월,0,481.1528
25,2월,1,456.0542
26,2월,2,451.1010000000004
27,2월,3,460.81650000000013
28,2월,4,456.9538999999997
29,2월,5,460.1136000000003
30,2월,6,457.80100000000033
31,2월,7,450.4431000000001
32,2월,8,447.9948000000001
33,2월,9,440.04309999999975
34,2월,10,438.58890000000014
35,2월,11,440.3906000000004
36,2월,12,453.5194999999998
37,2월,13,439.69240000000013
38,2월,14,446.1008000000003
39,2월,15,447.48840000000024
40,2월,16,452.57419999999985
41,2월,17,462.8711999999999
42,2월,18,471.3026000000006
43,2월,19,471.18080000000054
44,2월,20,474.6579999999996
45,2월,21,465.5189000000006
46,2월,22,473.5346999999998
47,2월,23,479.1816999999999
48,3월,0,481.3193000000003
49,3월,1,453.62000000000046
50,3월,2,450.3225
51,3월,3,454.1076999999997
52,3월,4,453.4474999999998
53,3월,5,453.0215999999999
54,3월,6,456.9065999999999
55,3월,7,448.01890000000054
56,3월,8,433.3511999999999
57,3월,9,450.3696999999996
58,3월,10,428.4128
59,3월,11,419.53229999999945
60,3월,12,435.94110000000023
61,3월,13,437.0941000000001
62,3월,14,453.3948000000002
63,3월,15,446.9322000000004
64,3월,16,450.7861000000002
65,3월,17,443.8149999999994
66,3월,18,459.0497000000001
67,3월,19,461.96879999999976
68,3월,20,464.13679999999977
69,3월,21,468.29729999999995
70,3월,22,474.8761000000001
71,3월,23,480.3473000000005
72,4월,0,536.7957999999998
73,4월,1,505.4566999999998
74,4월,2,508.61890000000017
75,4월,3,509.2499999999998
76,4월,4,512.4256999999997
77,4월,5,506.5232000000004
78,4월,6,504.0533999999998
79,4월,7,500.45579999999933
80,4월,8,503.55610000000013
81,4월,9,493.7159999999994
82,4월,10,499.4810999999998
83,4월,11,494.0328000000002
84,4월,12,491.31360000000006
85,4월,13,496.3018999999997
86,4월,14,501.1116999999994
87,4월,15,498.7324999999998
88,4월,16,509.5702000000002
89,4월,17,509.3073
90,4월,18,527.6697000000001
91,4월,19,521.5374000000002
92,4월,20,529.1525999999997
93,4월,21,527.9953000000005
94,4월,22,535.2105000000003
95,4월,23,539.3906999999998
96,5월,0,546.175
97,5월,1,519.5760999999998
98,5월,2,516.224
99,5월,3,516.6513999999995
100,5월,4,512.8577000000005
101,5월,5,504.50409999999994
102,5월,6,510.01450000000006
103,5월,7,506.41460000000023
104,5월,8,484.3270000000003
105,5월,9,483.17919999999975
106,5월,10,483.1343999999997
107,5월,11,471.3549000000004
108,5월,12,477.4651
109,5월,13,492.0538000000001
110,5월,14,486.49080000000015
111,5월,15,490.00160000000005
112,5월,16,491.65519999999975
113,5월,17,516.5033000000001
114,5월,18,529.3529000000002
115,5월,19,534.6465000000002
116,5월,20,542.04
117,5월,21,530.7088999999994
118,5월,22,541.1975000000008
119,5월,23,544.1802999999992
120,6월,0,473.9135
121,6월,1,461.0798999999999
122,6월,2,457.8799
123,6월,3,454.6971999999997
124,6월,4,452.1049000000001
125,6월,5,454.09630000000004
126,6월,6,452.09390000000025
127,6월,7,451.785
128,6월,8,452.3184
129,6월,9,445.9416000000006
130,6월,10,441.04660000000007
131,6월,11,438.5839999999999
132,6월,12,442.00059999999996
133,6월,13,435.93720000000025
134,6월,14,439.3302
135,6월,15,446.0335000000004
136,6월,16,440.95380000000006
137,6월,17,452.3938
138,6월,18,471.4338000000001
139,6월,19,466.85619999999955
140,6월,20,470.1424000000002
141,6월,21,467.8591000000003
142,6월,22,471.57759999999973
143,6월,23,475.49929999999955
144,7월,0,478.83290000000017
145,7월,1,453.29639999999995
146,7월,2,462.46620000000013
147,7월,3,454.5497000000004
148,7월,4,455.1404000000002
149,7월,5,454.01790000000005
150,7월,6,449.45430000000016
151,7월,7,456.02929999999975
152,7월,8,440.0024000000006
153,7월,9,452.61680000000024
154,7월,10,452.8482999999998
155,7월,11,457.82410000000004
156,7월,12,445.5133
157,7월,13,445.27010000000007
158,7월,14,431.76200000000017
159,7월,15,428.5336000000002
160,7월,16,445.27770000000055
161,7월,17,444.60240000000005
162,7월,18,456.3912000000001
163,7월,19,462.12039999999973
164,7월,20,472.36839999999927
165,7월,21,472.01579999999973
166,7월,22,480.4741999999996
167,7월,23,487.39230000000003
168,8월,0,557.6074000000002
169,8월,1,529.6143000000001
170,8월,2,534.6276999999993
171,8월,3,537.3211999999999
172,8월,4,544.7301999999999
173,8월,5,544.2377
174,8월,6,540.1990999999996
175,8월,7,529.3785999999999
176,8월,8,512.7052999999997
177,8월,9,500.81469999999985
178,8월,10,479.3136000000001
179,8월,11,488.3626999999999
180,8월,12,474.98900000000003
181,8월,13,478.18770000000006
