,adm_dr_nm,TIME,A_MAX
0,광천동,0,24236
1,광천동,1,21456
2,광천동,2,20797
3,광천동,3,20597
4,광천동,4,20540
5,광천동,5,20554
6,광천동,6,21751
7,광천동,7,23981
8,광천동,8,25439
9,광천동,9,25842
10,광천동,10,27617
11,광천동,11,31756
12,광천동,12,33073
13,광천동,13,35392
14,광천동,14,36277
15,광천동,15,36440
16,광천동,16,36087
17,광천동,17,34751
18,광천동,18,34515
19,광천동,19,32807
20,광천동,20,32237
21,광천동,21,27096
22,광천동,22,27121
23,광천동,23,25516
24,금호1동,0,35967
25,금호1동,1,36053
26,금호1동,2,36219
27,금호1동,3,36234
28,금호1동,4,36235
29,금호1동,5,35929
30,금호1동,6,35244
31,금호1동,7,34401
32,금호1동,8,33597
33,금호1동,9,32637
34,금호1동,10,31605
35,금호1동,11,30612
36,금호1동,12,29224
37,금호1동,13,28724
38,금호1동,14,28325
39,금호1동,15,28254
40,금호1동,16,28666
41,금호1동,17,29363
42,금호1동,18,30422
43,금호1동,19,33135
44,금호1동,20,33656
45,금호1동,21,33710
46,금호1동,22,34519
47,금호1동,23,35436
48,금호2동,0,18288
49,금호2동,1,18688
50,금호2동,2,18653
51,금호2동,3,18532
52,금호2동,4,18326
53,금호2동,5,18212
54,금호2동,6,18022
55,금호2동,7,17718
56,금호2동,8,17389
57,금호2동,9,17145
58,금호2동,10,16788
59,금호2동,11,16611
60,금호2동,12,16010
61,금호2동,13,15349
62,금호2동,14,15225
63,금호2동,15,15436
64,금호2동,16,15534
65,금호2동,17,15800
66,금호2동,18,16150
67,금호2동,19,16670
68,금호2동,20,17385
69,금호2동,21,17546
70,금호2동,22,17877
71,금호2동,23,18185
72,농성1동,0,24540
73,농성1동,1,23895
74,농성1동,2,23970
75,농성1동,3,24213
76,농성1동,4,24028
77,농성1동,5,24093
78,농성1동,6,23938
79,농성1동,7,24470
80,농성1동,8,25533
81,농성1동,9,27755
82,농성1동,10,29028
83,농성1동,11,29603
84,농성1동,12,29772
85,농성1동,13,29767
86,농성1동,14,29998
87,농성1동,15,30019
88,농성1동,16,29504
89,농성1동,17,29174
90,농성1동,18,28374
91,농성1동,19,26285
92,농성1동,20,25994
93,농성1동,21,24938
94,농성1동,22,24937
95,농성1동,23,24767
96,농성2동,0,10278
97,농성2동,1,10263
98,농성2동,2,10376
99,농성2동,3,10410
100,농성2동,4,10391
101,농성2동,5,10311
102,농성2동,6,10306
103,농성2동,7,10075
