,adm_dr_nm,STD_YM,A_MAX
0,광천동,2018-07,20391
1,광천동,2018-08,28535
2,광천동,2018-09,31798
3,광천동,2018-10,29101
4,광천동,2018-11,27997
5,광천동,2018-12,27848
6,광천동,2019-01,23166
7,광천동,2019-02,24780
8,광천동,2019-03,22623
9,광천동,2019-04,25093
10,광천동,2019-05,25038
11,광천동,2019-06,23451
12,금호1동,2018-07,27903
13,금호1동,2018-08,31077
14,금호1동,2018-09,29197
15,금호1동,2018-10,27647
16,금호1동,2018-11,31290
17,금호1동,2018-12,30529
18,금호1동,2019-01,30260
19,금호1동,2019-02,30054
20,금호1동,2019-03,33315
21,금호1동,2019-04,29686
22,금호1동,2019-05,29111
23,금호1동,2019-06,29298
24,금호2동,2018-07,14684
25,금호2동,2018-08,14188
26,금호2동,2018-09,13682
27,금호2동,2018-10,13408
28,금호2동,2018-11,16322
29,금호2동,2018-12,14780
30,금호2동,2019-01,15969
31,금호2동,2019-02,16030
32,금호2동,2019-03,17383
33,금호2동,2019-04,16261
34,금호2동,2019-05,16836
35,금호2동,2019-06,15493
36,농성1동,2018-07,18149
37,농성1동,2018-08,22315
38,농성1동,2018-09,19491
39,농성1동,2018-10,19636
40,농성1동,2018-11,21179
41,농성1동,2018-12,21793
42,농성1동,2019-01,26024
43,농성1동,2019-02,26162
44,농성1동,2019-03,22907
45,농성1동,2019-04,25572
46,농성1동,2019-05,27156
47,농성1동,2019-06,26422
48,농성2동,2018-07,5344
49,농성2동,2018-08,6390
50,농성2동,2018-09,6155
51,농성2동,2018-10,6234
52,농성2동,2018-11,6747
53,농성2동,2018-12,6486
54,농성2동,2019-01,6630
55,농성2동,2019-02,9852
56,농성2동,2019-03,7541
57,농성2동,2019-04,8319
58,농성2동,2019-05,9241
59,농성2동,2019-06,9768
60,동천동,2018-07,12248
61,동천동,2018-08,14415
62,동천동,2018-09,13403
63,동천동,2018-10,12322
64,동천동,2018-11,14297
65,동천동,2018-12,12423
66,동천동,2019-01,10297
67,동천동,2019-02,11816
68,동천동,2019-03,12162
69,동천동,2019-04,11989
70,동천동,2019-05,9785
71,동천동,2019-06,9535
72,상무1동,2018-07,28495
73,상무1동,2018-08,36502
74,상무1동,2018-09,32363
75,상무1동,2018-10,31136
76,상무1동,2018-11,35281
77,상무1동,2018-12,33609
78,상무1동,2019-01,32072
79,상무1동,2019-02,30617
80,상무1동,2019-03,34965
81,상무1동,2019-04,35190
82,상무1동,2019-05,33295
83,상무1동,2019-06,30988
84,상무2동,2018-07,24883
85,상무2동,2018-08,28979
86,상무2동,2018-09,25121
87,상무2동,2018-10,25056
88,상무2동,2018-11,28704
89,상무2동,2018-12,27256
90,상무2동,2019-01,23992
91,상무2동,2019-02,26570
92,상무2동,2019-03,27476
93,상무2동,2019-04,30753
94,상무2동,2019-05,28027
95,상무2동,2019-06,28223
96,서창동,2018-07,41587
97,서창동,2018-08,55650
98,서창동,2018-09,49474
99,서창동,2018-10,53324
100,서창동,2018-11,52922
101,서창동,2018-12,51121
102,서창동,2019-01,41241
103,서창동,2019-02,60136
104,서창동,2019-03,41229
105,서창동,2019-04,40566
106,서창동,2019-05,39161
107,서창동,2019-06,40735
108,양3동,2018-07,4755
109,양3동,2018-08,5311
110,양3동,2018-09,4999
111,양3동,2018-10,4732
112,양3동,2018-11,5896
113,양3동,2018-12,5255
114,양3동,2019-01,4947
115,양3동,2019-02,5105
116,양3동,2019-03,3322
117,양3동,2019-04,4350
118,양3동,2019-05,4200
119,양3동,2019-06,6115
120,양동,2018-07,10188
121,양동,2018-08,11996
122,양동,2018-09,10449
123,양동,2018-10,10046
124,양동,2018-11,10173
125,양동,2018-12,11527
126,양동,2019-01,17432
127,양동,2019-02,15785
128,양동,2019-03,11146
129,양동,2019-04,15536
130,양동,2019-05,16200
131,양동,2019-06,16431
132,유덕동,2018-07,41139
133,유덕동,2018-08,49003
134,유덕동,2018-09,40533
135,유덕동,2018-10,40172
136,유덕동,2018-11,42355
137,유덕동,2018-12,45992
138,유덕동,2019-01,42076
139,유덕동,2019-02,42161
140,유덕동,2019-03,42279
141,유덕동,2019-04,44699
142,유덕동,2019-05,42260
143,유덕동,2019-06,41188
144,치평동,2018-07,31394
145,치평동,2018-08,43090
146,치평동,2018-09,32126
147,치평동,2018-10,33462
148,치평동,2018-11,33542
149,치평동,2018-12,36371
150,치평동,2019-01,34809
151,치평동,2019-02,34863
152,치평동,2019-03,34178
153,치평동,2019-04,35282
154,치평동,2019-05,37724
155,치평동,2019-06,34980
156,풍암동,2018-07,36378
157,풍암동,2018-08,45929
158,풍암동,2018-09,36067
159,풍암동,2018-10,34833
160,풍암동,2018-11,41015
161,풍암동,2018-12,36984
162,풍암동,2019-01,36775
163,풍암동,2019-02,36000
164,풍암동,2019-03,41180
165,풍암동,2019-04,45714
166,풍암동,2019-05,36950
167,풍암동,2019-06,37768
168,화정1동,2018-07,10398
169,화정1동,2018-08,10627
170,화정1동,2018-09,10199
171,화정1동,2018-10,10487
172,화정1동,2018-11,12157
173,화정1동,2018-12,11341
174,화정1동,2019-01,11217
175,화정1동,2019-02,11744
176,화정1동,2019-03,12252
177,화정1동,2019-04,15938
178,화정1동,2019-05,12055
179,화정1동,2019-06,12930
180,화정2동,2018-07,13316
181,화정2동,2018-08,14030
182,화정2동,2018-09,13137
183,화정2동,2018-10,12460
184,화정2동,2018-11,14428
185,화정2동,2018-12,14018
186,화정2동,2019-01,12838
187,화정2동,2019-02,13185
188,화정2동,2019-03,13638
189,화정2동,2019-04,18191
190,화정2동,2019-05,13668
191,화정2동,2019-06,13847
192,화정3동,2018-07,10719
193,화정3동,2018-08,11896
194,화정3동,2018-09,11391
195,화정3동,2018-10,11455
196,화정3동,2018-11,12622
197,화정3동,2018-12,11014
198,화정3동,2019-01,9975
199,화정3동,2019-02,11161
200,화정3동,2019-03,10368
201,화정3동,2019-04,13093
202,화정3동,2019-05,11756
203,화정3동,2019-06,12272
204,화정4동,2018-07,12764
205,화정4동,2018-08,12835
206,화정4동,2018-09,12417
207,화정4동,2018-10,11624
208,화정4동,2018-11,12915
209,화정4동,2018-12,12192
210,화정4동,2019-01,9916
211,화정4동,2019-02,10382
212,화정4동,2019-03,10113
213,화정4동,2019-04,12749
214,화정4동,2019-05,10669
215,화정4동,2019-06,10622
