,sigungu_nm,STD_YM,A_MAX
0,강서구,2018-07,90986
1,강서구,2018-08,95595
2,강서구,2018-09,106043
3,강서구,2018-10,96609
4,강서구,2018-11,98412
5,강서구,2018-12,95203
6,강서구,2019-01,66064
7,강서구,2019-02,64018
8,강서구,2019-03,66110
9,강서구,2019-04,70706
10,강서구,2019-05,69629
11,강서구,2019-06,72779
12,기장군,2018-07,31340
13,기장군,2018-08,37197
14,기장군,2018-09,40678
15,기장군,2018-10,36411
16,기장군,2018-11,35817
17,기장군,2018-12,36186
18,기장군,2019-01,44777
19,기장군,2019-02,42766
20,기장군,2019-03,41890
21,기장군,2019-04,42163
22,기장군,2019-05,46649
23,기장군,2019-06,35070
24,남구,2018-07,72924
25,남구,2018-08,77266
26,남구,2018-09,78634
27,남구,2018-10,81316
28,남구,2018-11,76833
29,남구,2018-12,80127
30,남구,2019-01,72216
31,남구,2019-02,72841
32,남구,2019-03,88337
33,남구,2019-04,76135
34,남구,2019-05,76400
35,남구,2019-06,79464
36,동구,2018-07,68324
37,동구,2018-08,68355
38,동구,2018-09,68691
39,동구,2018-10,89657
40,동구,2018-11,88934
41,동구,2018-12,93559
42,동구,2019-01,90834
43,동구,2019-02,92547
44,동구,2019-03,73051
45,동구,2019-04,82769
46,동구,2019-05,78218
47,동구,2019-06,75255
48,사하구,2018-07,92660
49,사하구,2018-08,95334
50,사하구,2018-09,97097
51,사하구,2018-10,94554
52,사하구,2018-11,95634
53,사하구,2018-12,101061
54,사하구,2019-01,98335
55,사하구,2019-02,90947
56,사하구,2019-03,105669
57,사하구,2019-04,96585
58,사하구,2019-05,92930
59,사하구,2019-06,92075
60,서구,2018-07,47232
61,서구,2018-08,48177
62,서구,2018-09,48369
63,서구,2018-10,45816
64,서구,2018-11,46158
65,서구,2018-12,50329
66,서구,2019-01,53646
67,서구,2019-02,51162
68,서구,2019-03,47009
69,서구,2019-04,54900
70,서구,2019-05,51161
71,서구,2019-06,51066
72,수영구,2018-07,105674
73,수영구,2018-08,122844
74,수영구,2018-09,106607
75,수영구,2018-10,267569
76,수영구,2018-11,111100
77,수영구,2018-12,138356
78,수영구,2019-01,94555
79,수영구,2019-02,94799
80,수영구,2019-03,99857
81,수영구,2019-04,100119
82,수영구,2019-05,98669
83,수영구,2019-06,96303
84,영도구,2018-07,135035
85,영도구,2018-08,130999
86,영도구,2018-09,139290
87,영도구,2018-10,134019
88,영도구,2018-11,134837
89,영도구,2018-12,136114
90,영도구,2019-01,128380
91,영도구,2019-02,126997
92,영도구,2019-03,132413
93,영도구,2019-04,123065
94,영도구,2019-05,127743
95,영도구,2019-06,142703
96,중구,2018-07,78446
97,중구,2018-08,81739
98,중구,2018-09,76354
99,중구,2018-10,74907
100,중구,2018-11,73542
101,중구,2018-12,99980
102,중구,2019-01,80391
103,중구,2019-02,81645
104,중구,2019-03,74928
105,중구,2019-04,81586
106,중구,2019-05,87076
107,중구,2019-06,78013
108,해운대구,2018-07,182408
109,해운대구,2018-08,194112
110,해운대구,2018-09,203430
111,해운대구,2018-10,194622
112,해운대구,2018-11,214545
113,해운대구,2018-12,212641
114,해운대구,2019-01,186548
115,해운대구,2019-02,185208
116,해운대구,2019-03,200252
117,해운대구,2019-04,191688
118,해운대구,2019-05,190863
119,해운대구,2019-06,192123
