,month,TIME,H_MAX
0,1월,0,48710
1,1월,1,50099
2,1월,2,51028
3,1월,3,51672
4,1월,4,51835
5,1월,5,51261
6,1월,6,49915
7,1월,7,47732
8,1월,8,45603
9,1월,9,43115
10,1월,10,40293
11,1월,11,37981
12,1월,12,35901
13,1월,13,34046
14,1월,14,32665
15,1월,15,31999
16,1월,16,32229
17,1월,17,32932
18,1월,18,34107
19,1월,19,35725
20,1월,20,37981
21,1월,21,40782
22,1월,22,43614
23,1월,23,46378
24,2월,0,49653
25,2월,1,51100
26,2월,2,52117
27,2월,3,52520
28,2월,4,52449
29,2월,5,51960
30,2월,6,50814
31,2월,7,48514
32,2월,8,46625
33,2월,9,44160
34,2월,10,40748
35,2월,11,37138
36,2월,12,34567
37,2월,13,32854
38,2월,14,31978
39,2월,15,31253
40,2월,16,31737
41,2월,17,32975
42,2월,18,34635
43,2월,19,36240
44,2월,20,38884
45,2월,21,42063
46,2월,22,44917
47,2월,23,47751
48,3월,0,58403
49,3월,1,59913
50,3월,2,60917
51,3월,3,61615
52,3월,4,61434
53,3월,5,60635
54,3월,6,59179
55,3월,7,56421
56,3월,8,54351
57,3월,9,51737
58,3월,10,48342
59,3월,11,44495
60,3월,12,41677
61,3월,13,40036
62,3월,14,39262
63,3월,15,39152
64,3월,16,39586
65,3월,17,40242
66,3월,18,41659
67,3월,19,43632
68,3월,20,46535
69,3월,21,49695
70,3월,22,52841
71,3월,23,56084
72,4월,0,51966
73,4월,1,53366
74,4월,2,54179
75,4월,3,54630
76,4월,4,54455
77,4월,5,53922
78,4월,6,52395
79,4월,7,49772
80,4월,8,46345
81,4월,9,43651
82,4월,10,40247
83,4월,11,36714
84,4월,12,34520
85,4월,13,32744
86,4월,14,31952
87,4월,15,31791
88,4월,16,33384
89,4월,17,34579
90,4월,18,36125
91,4월,19,38342
92,4월,20,40610
93,4월,21,43571
94,4월,22,46680
95,4월,23,49717
96,5월,0,49643
97,5월,1,51012
98,5월,2,51912
99,5월,3,52451
100,5월,4,52454
101,5월,5,51986
102,5월,6,49923
103,5월,7,47345
104,5월,8,45078
105,5월,9,42491
106,5월,10,38236
107,5월,11,34551
108,5월,12,31985
109,5월,13,31060
110,5월,14,30282
111,5월,15,30399
112,5월,16,31253
113,5월,17,32876
114,5월,18,34334
115,5월,19,36227
116,5월,20,38378
117,5월,21,41088
118,5월,22,44381
119,5월,23,47187
120,6월,0,48891
121,6월,1,50922
122,6월,2,51886
123,6월,3,52583
124,6월,4,52775
125,6월,5,51973
126,6월,6,49770
127,6월,7,47026
128,6월,8,44810
129,6월,9,42090
130,6월,10,38576
131,6월,11,35130
132,6월,12,32778
133,6월,13,31170
134,6월,14,30081
135,6월,15,29916
136,6월,16,30751
137,6월,17,31907
138,6월,18,33285
139,6월,19,34999
140,6월,20,37471
141,6월,21,40412
142,6월,22,43330
143,6월,23,46498
144,7월,0,58685
145,7월,1,60145
146,7월,2,61137
147,7월,3,61679
148,7월,4,61943
149,7월,5,61420
150,7월,6,59733
151,7월,7,56638
152,7월,8,54151
153,7월,9,51308
154,7월,10,47757
155,7월,11,44236
156,7월,12,41447
157,7월,13,40485
158,7월,14,40094
159,7월,15,39779
160,7월,16,40039
161,7월,17,41060
162,7월,18,42230
163,7월,19,44869
164,7월,20,47928
165,7월,21,50887
166,7월,22,53902
167,7월,23,56167
168,8월,0,61865
169,8월,1,65021
170,8월,2,64264
171,8월,3,65033
172,8월,4,64125
173,8월,5,63527
174,8월,6,62466
175,8월,7,58141
176,8월,8,55832
177,8월,9,52064
178,8월,10,49788
179,8월,11,44514
180,8월,12,42701
181,8월,13,41040
182,8월,14,39932
183,8월,15,39490
184,8월,16,39646
185,8월,17,41714
186,8월,18,44133
187,8월,19,47468
188,8월,20,49651
189,8월,21,53339
190,8월,22,56273
191,8월,23,60627
192,9월,0,63414
193,9월,1,65390
194,9월,2,65998
195,9월,3,67403
196,9월,4,66194
197,9월,5,64939
198,9월,6,63844
199,9월,7,60061
200,9월,8,57462
201,9월,9,54055
202,9월,10,49126
203,9월,11,45191
204,9월,12,43014
205,9월,13,41558
206,9월,14,39381
207,9월,15,39876
208,9월,16,41359
209,9월,17,41094
210,9월,18,42958
211,9월,19,44324
212,9월,20,48060
213,9월,21,52678
214,9월,22,56266
215,9월,23,60655
216,10월,0,62951
217,10월,1,63801
218,10월,2,64118
219,10월,3,65002
220,10월,4,64301
221,10월,5,62817
222,10월,6,61099
223,10월,7,56575
224,10월,8,54224
225,10월,9,50972
226,10월,10,48039
227,10월,11,46797
228,10월,12,45374
229,10월,13,43884
230,10월,14,41166
231,10월,15,39361
232,10월,16,38262
233,10월,17,38208
234,10월,18,39988
235,10월,19,42974
236,10월,20,45788
237,10월,21,51068
238,10월,22,54972
239,10월,23,58692
240,11월,0,60677
241,11월,1,62981
242,11월,2,63891
243,11월,3,64274
244,11월,4,64269
245,11월,5,63377
246,11월,6,60960
247,11월,7,57048
248,11월,8,52804
249,11월,9,47719
250,11월,10,43847
251,11월,11,39487
252,11월,12,37599
253,11월,13,34664
254,11월,14,33584
255,11월,15,33659
256,11월,16,35000
257,11월,17,36467
258,11월,18,38198
259,11월,19,41834
260,11월,20,44719
261,11월,21,49354
262,11월,22,53608
263,11월,23,58570
264,12월,0,61997
265,12월,1,64083
266,12월,2,64252
267,12월,3,65614
268,12월,4,64840
269,12월,5,63845
270,12월,6,61677
271,12월,7,59233
272,12월,8,56816
273,12월,9,54354
274,12월,10,47942
275,12월,11,43198
276,12월,12,40050
277,12월,13,38796
278,12월,14,37397
279,12월,15,37341
280,12월,16,37477
281,12월,17,39768
282,12월,18,40829
283,12월,19,43929
284,12월,20,46646
285,12월,21,51736
286,12월,22,55487
287,12월,23,59935
