,month,TIME,W_MAX
0,1월,0,2320
1,1월,1,1768
2,1월,2,1518
3,1월,3,1461
4,1월,4,1482
5,1월,5,1584
6,1월,6,2110
7,1월,7,3405
8,1월,8,6317
9,1월,9,13146
10,1월,10,16524
11,1월,11,17929
12,1월,12,17641
13,1월,13,18180
14,1월,14,18513
15,1월,15,18478
16,1월,16,18133
17,1월,17,16877
18,1월,18,14254
19,1월,19,9075
20,1월,20,6989
21,1월,21,5619
22,1월,22,4148
23,1월,23,2833
24,2월,0,2262
25,2월,1,1854
26,2월,2,1548
27,2월,3,1465
28,2월,4,1472
29,2월,5,1585
30,2월,6,2213
31,2월,7,3420
32,2월,8,6620
33,2월,9,13492
34,2월,10,16587
35,2월,11,17738
36,2월,12,17855
37,2월,13,18361
38,2월,14,18887
39,2월,15,18745
40,2월,16,18063
41,2월,17,16831
42,2월,18,13988
43,2월,19,9002
44,2월,20,6839
45,2월,21,5436
46,2월,22,4106
47,2월,23,2950
48,3월,0,1457
49,3월,1,1159
50,3월,2,992
51,3월,3,898
52,3월,4,929
53,3월,5,1008
54,3월,6,1415
55,3월,7,2842
56,3월,8,5178
57,3월,9,10054
58,3월,10,13301
59,3월,11,14257
60,3월,12,14223
61,3월,13,14291
62,3월,14,14652
63,3월,15,15293
64,3월,16,15046
65,3월,17,14258
66,3월,18,12432
67,3월,19,7558
68,3월,20,5650
69,3월,21,4194
70,3월,22,3202
71,3월,23,1957
72,4월,0,2325
73,4월,1,1847
74,4월,2,1607
75,4월,3,1512
76,4월,4,1521
77,4월,5,1602
78,4월,6,2194
79,4월,7,3521
80,4월,8,6773
81,4월,9,11644
82,4월,10,14235
83,4월,11,15209
84,4월,12,15130
85,4월,13,15571
86,4월,14,15982
87,4월,15,15884
88,4월,16,15463
89,4월,17,14347
90,4월,18,11930
91,4월,19,7731
92,4월,20,5936
93,4월,21,4733
94,4월,22,3432
95,4월,23,2490
96,5월,0,2545
97,5월,1,1979
98,5월,2,1688
99,5월,3,1515
100,5월,4,1415
101,5월,5,1580
102,5월,6,2283
103,5월,7,3621
104,5월,8,6927
105,5월,9,11270
106,5월,10,13625
107,5월,11,14625
108,5월,12,14572
109,5월,13,14740
110,5월,14,15182
111,5월,15,14906
112,5월,16,14449
113,5월,17,13455
114,5월,18,11134
115,5월,19,7388
116,5월,20,5686
117,5월,21,4677
118,5월,22,3441
119,5월,23,2579
120,6월,0,3023
121,6월,1,2272
122,6월,2,1979
123,6월,3,1928
124,6월,4,1924
125,6월,5,2155
126,6월,6,2711
127,6월,7,4293
128,6월,8,7429
129,6월,9,12124
130,6월,10,14612
131,6월,11,15576
132,6월,12,15377
133,6월,13,15694
134,6월,14,16038
135,6월,15,15759
136,6월,16,15209
137,6월,17,14255
138,6월,18,11826
139,6월,19,7848
140,6월,20,6366
141,6월,21,5232
142,6월,22,4120
143,6월,23,3084
144,7월,0,2210
145,7월,1,1854
146,7월,2,1686
147,7월,3,1588
148,7월,4,1575
149,7월,5,1690
150,7월,6,2246
151,7월,7,3667
152,7월,8,7202
153,7월,9,12712
154,7월,10,15379
155,7월,11,16296
156,7월,12,15845
157,7월,13,16489
158,7월,14,16810
159,7월,15,16419
160,7월,16,15798
161,7월,17,14643
162,7월,18,11282
163,7월,19,7996
164,7월,20,6514
165,7월,21,5297
166,7월,22,3883
167,7월,23,2855
168,8월,0,1750
169,8월,1,1329
170,8월,2,1105
171,8월,3,1053
172,8월,4,1056
173,8월,5,1245
174,8월,6,2120
175,8월,7,3454
176,8월,8,8822
177,8월,9,13516
178,8월,10,15951
179,8월,11,17117
180,8월,12,16653
181,8월,13,17190
182,8월,14,17765
183,8월,15,17630
184,8월,16,16723
185,8월,17,15211
186,8월,18,11759
187,8월,19,7806
188,8월,20,6373
189,8월,21,5098
190,8월,22,3646
191,8월,23,2606
192,9월,0,1915
193,9월,1,1507
194,9월,2,1198
195,9월,3,1231
196,9월,4,1108
197,9월,5,1497
198,9월,6,2510
199,9월,7,4208
200,9월,8,9571
201,9월,9,14737
202,9월,10,16833
203,9월,11,18110
204,9월,12,17541
205,9월,13,18394
206,9월,14,18677
207,9월,15,18426
208,9월,16,17433
209,9월,17,15712
210,9월,18,11321
211,9월,19,8191
212,9월,20,6422
213,9월,21,4858
214,9월,22,3510
215,9월,23,2471
216,10월,0,2460
217,10월,1,2026
218,10월,2,1899
219,10월,3,1833
220,10월,4,1869
221,10월,5,2165
222,10월,6,2960
223,10월,7,4157
224,10월,8,8781
225,10월,9,13610
226,10월,10,16233
227,10월,11,17195
228,10월,12,16640
229,10월,13,17402
230,10월,14,17901
231,10월,15,17821
232,10월,16,16754
233,10월,17,15172
234,10월,18,10738
235,10월,19,7595
236,10월,20,6392
237,10월,21,5007
238,10월,22,4087
239,10월,23,2949
240,11월,0,2214
241,11월,1,1871
242,11월,2,1795
243,11월,3,1711
244,11월,4,1801
245,11월,5,2038
246,11월,6,2916
247,11월,7,4478
248,11월,8,10095
249,11월,9,15653
250,11월,10,17908
251,11월,11,18951
252,11월,12,18333
253,11월,13,19444
254,11월,14,19684
255,11월,15,19850
256,11월,16,18844
257,11월,17,16836
258,11월,18,11957
259,11월,19,8566
260,11월,20,6992
261,11월,21,5455
262,11월,22,4283
263,11월,23,3278
264,12월,0,2290
265,12월,1,1929
266,12월,2,1771
267,12월,3,1677
268,12월,4,1724
269,12월,5,2079
270,12월,6,2859
271,12월,7,4428
272,12월,8,9593
273,12월,9,15274
274,12월,10,17761
275,12월,11,18897
276,12월,12,18228
277,12월,13,19124
278,12월,14,19414
279,12월,15,19349
280,12월,16,18440
281,12월,17,16312
282,12월,18,11760
283,12월,19,8425
284,12월,20,6869
285,12월,21,5521
286,12월,22,3814
287,12월,23,2874
