,month,TIME,V_MAX
0,1월,0,29054
1,1월,1,28745
2,1월,2,29249
3,1월,3,27664
4,1월,4,27127
5,1월,5,27066
6,1월,6,31800
7,1월,7,45867
8,1월,8,50029
9,1월,9,33799
10,1월,10,31326
11,1월,11,34608
12,1월,12,37684
13,1월,13,38799
14,1월,14,40735
15,1월,15,41049
16,1월,16,42637
17,1월,17,44070
18,1월,18,47350
19,1월,19,49835
20,1월,20,47969
21,1월,21,45536
22,1월,22,39210
23,1월,23,33476
24,2월,0,31358
25,2월,1,27404
26,2월,2,24571
27,2월,3,22796
28,2월,4,21854
29,2월,5,21271
30,2월,6,21472
31,2월,7,22019
32,2월,8,23698
33,2월,9,26276
34,2월,10,29742
35,2월,11,33900
36,2월,12,37401
37,2월,13,40294
38,2월,14,42551
39,2월,15,44442
40,2월,16,45925
41,2월,17,47130
42,2월,18,50484
43,2월,19,53388
44,2월,20,52874
45,2월,21,50132
46,2월,22,43208
47,2월,23,36236
48,3월,0,34294
49,3월,1,29332
50,3월,2,26386
51,3월,3,24636
52,3월,4,23556
53,3월,5,23104
54,3월,6,23855
55,3월,7,24323
56,3월,8,25599
57,3월,9,27902
58,3월,10,32061
59,3월,11,36461
60,3월,12,38151
61,3월,13,41441
62,3월,14,42208
63,3월,15,44915
64,3월,16,46224
65,3월,17,47121
66,3월,18,49631
67,3월,19,52027
68,3월,20,54393
69,3월,21,53638
70,3월,22,48162
71,3월,23,40968
72,4월,0,35543
73,4월,1,31088
74,4월,2,28131
75,4월,3,26158
76,4월,4,25017
77,4월,5,24164
78,4월,6,25292
79,4월,7,25839
80,4월,8,28415
81,4월,9,30790
82,4월,10,44325
83,4월,11,51623
84,4월,12,52832
85,4월,13,47548
86,4월,14,47516
87,4월,15,50607
88,4월,16,52608
89,4월,17,55111
90,4월,18,57392
91,4월,19,59427
92,4월,20,59505
93,4월,21,56739
94,4월,22,48566
95,4월,23,40742
96,5월,0,38833
97,5월,1,33749
98,5월,2,30199
99,5월,3,27490
