,STD_YM,TIME,A_MAX
0,2018-07,0,91355
1,2018-07,1,88022
2,2018-07,2,86162
3,2018-07,3,84479
4,2018-07,4,83487
5,2018-07,5,82999
6,2018-07,6,82972
7,2018-07,7,82182
8,2018-07,8,82966
9,2018-07,9,83710
10,2018-07,10,85485
11,2018-07,11,85936
12,2018-07,12,86369
13,2018-07,13,86936
14,2018-07,14,87084
15,2018-07,15,87700
16,2018-07,16,88867
17,2018-07,17,90591
18,2018-07,18,94018
19,2018-07,19,97469
20,2018-07,20,101525
21,2018-07,21,100850
22,2018-07,22,99336
23,2018-07,23,95306
24,2018-08,0,94819
25,2018-08,1,90999
26,2018-08,2,88376
27,2018-08,3,86024
28,2018-08,4,85242
29,2018-08,5,83622
30,2018-08,6,84409
31,2018-08,7,82393
32,2018-08,8,84707
33,2018-08,9,84864
34,2018-08,10,86743
35,2018-08,11,87928
36,2018-08,12,87565
37,2018-08,13,87620
38,2018-08,14,88052
39,2018-08,15,91370
40,2018-08,16,91757
41,2018-08,17,95608
42,2018-08,18,99963
43,2018-08,19,109504
44,2018-08,20,115411
45,2018-08,21,118542
46,2018-08,22,114651
47,2018-08,23,107044
48,2018-09,0,91393
49,2018-09,1,91027
50,2018-09,2,87151
51,2018-09,3,86329
52,2018-09,4,85183
53,2018-09,5,84495
54,2018-09,6,85370
55,2018-09,7,84139
56,2018-09,8,87936
57,2018-09,9,86784
58,2018-09,10,86748
59,2018-09,11,88278
60,2018-09,12,88374
61,2018-09,13,88429
62,2018-09,14,86921
63,2018-09,15,88536
64,2018-09,16,89298
65,2018-09,17,91302
66,2018-09,18,96760
67,2018-09,19,98283
68,2018-09,20,99507
69,2018-09,21,102769
70,2018-09,22,98632
71,2018-09,23,95669
72,2018-10,0,100464
73,2018-10,1,95783
74,2018-10,2,90805
75,2018-10,3,89950
76,2018-10,4,88379
77,2018-10,5,87034
78,2018-10,6,86656
79,2018-10,7,85723
80,2018-10,8,88257
81,2018-10,9,89403
82,2018-10,10,88384
83,2018-10,11,89995
84,2018-10,12,90192
85,2018-10,13,93937
86,2018-10,14,96145
87,2018-10,15,108128
88,2018-10,16,127414
89,2018-10,17,154887
90,2018-10,18,192169
91,2018-10,19,228121
92,2018-10,20,255967
93,2018-10,21,205194
94,2018-10,22,136245
95,2018-10,23,108741
96,2018-11,0,88905
97,2018-11,1,86579
98,2018-11,2,83874
99,2018-11,3,82299
100,2018-11,4,82398
101,2018-11,5,81946
102,2018-11,6,81323
103,2018-11,7,81314
104,2018-11,8,86647
105,2018-11,9,85758
106,2018-11,10,84782
107,2018-11,11,83934
108,2018-11,12,83989
109,2018-11,13,83160
110,2018-11,14,83165
111,2018-11,15,85259
112,2018-11,16,87374
113,2018-11,17,91542
114,2018-11,18,99244
115,2018-11,19,102898
116,2018-11,20,104345
117,2018-11,21,101217
118,2018-11,22,95769
119,2018-11,23,92436
120,2018-12,0,94920
121,2018-12,1,91618
122,2018-12,2,87174
123,2018-12,3,85546
124,2018-12,4,84573
125,2018-12,5,83637
126,2018-12,6,83947
127,2018-12,7,85212
128,2018-12,8,92908
129,2018-12,9,94727
130,2018-12,10,96863
131,2018-12,11,96684
132,2018-12,12,103433
133,2018-12,13,106715
134,2018-12,14,114057
135,2018-12,15,116840
136,2018-12,16,121244
137,2018-12,17,126410
138,2018-12,18,130455
139,2018-12,19,127592
140,2018-12,20,123445
141,2018-12,21,119887
142,2018-12,22,115183
143,2018-12,23,110013
144,2019-01,0,75362
145,2019-01,1,73798
146,2019-01,2,74741
147,2019-01,3,74364
148,2019-01,4,74162
149,2019-01,5,74179
150,2019-01,6,78310
151,2019-01,7,90996
152,2019-01,8,94269
153,2019-01,9,78898
154,2019-01,10,79132
155,2019-01,11,81422
156,2019-01,12,81823
157,2019-01,13,80874
158,2019-01,14,81124
159,2019-01,15,81833
160,2019-01,16,81658
161,2019-01,17,82491
162,2019-01,18,85487
163,2019-01,19,87974
164,2019-01,20,87519
165,2019-01,21,86569
166,2019-01,22,82087
167,2019-01,23,78216
168,2019-02,0,78656
169,2019-02,1,75919
170,2019-02,2,74097
171,2019-02,3,72889
172,2019-02,4,72159
173,2019-02,5,71306
174,2019-02,6,71283
175,2019-02,7,71318
176,2019-02,8,72735
177,2019-02,9,74980
178,2019-02,10,77470
179,2019-02,11,79586
180,2019-02,12,80036
181,2019-02,13,81477
182,2019-02,14,82308
183,2019-02,15,83501
184,2019-02,16,84672
185,2019-02,17,85788
186,2019-02,18,88715
187,2019-02,19,92292
188,2019-02,20,92612
189,2019-02,21,91568
190,2019-02,22,86285
191,2019-02,23,81424
192,2019-03,0,86514
193,2019-03,1,83457
194,2019-03,2,81687
195,2019-03,3,80709
196,2019-03,4,80213
197,2019-03,5,79459
198,2019-03,6,79597
199,2019-03,7,79490
200,2019-03,8,80024
201,2019-03,9,81449
202,2019-03,10,82586
203,2019-03,11,84167
204,2019-03,12,83075
205,2019-03,13,84351
206,2019-03,14,84126
207,2019-03,15,86514
208,2019-03,16,87206
209,2019-03,17,88281
210,2019-03,18,90578
211,2019-03,19,93528
212,2019-03,20,96511
213,2019-03,21,97735
214,2019-03,22,94989
215,2019-03,23,90881
216,2019-04,0,83805
217,2019-04,1,80578
218,2019-04,2,78599
219,2019-04,3,77017
220,2019-04,4,76013
221,2019-04,5,75214
222,2019-04,6,75225
223,2019-04,7,75582
224,2019-04,8,76290
225,2019-04,9,74779
226,2019-04,10,87553
227,2019-04,11,92295
228,2019-04,12,91199
229,2019-04,13,84791
230,2019-04,14,83269
231,2019-04,15,85036
232,2019-04,16,87079
233,2019-04,17,90029
234,2019-04,18,93425
235,2019-04,19,96301
236,2019-04,20,97898
237,2019-04,21,97378
238,2019-04,22,91586
239,2019-04,23,86679
240,2019-05,0,83757
241,2019-05,1,79920
242,2019-05,2,77269
243,2019-05,3,75375
244,2019-05,4,73915
245,2019-05,5,72700
246,2019-05,6,72276
247,2019-05,7,71825
248,2019-05,8,74524
249,2019-05,9,74304
250,2019-05,10,75323
251,2019-05,11,75882
252,2019-05,12,76360
253,2019-05,13,77354
254,2019-05,14,80001
255,2019-05,15,81560
256,2019-05,16,82529
257,2019-05,17,84150
258,2019-05,18,88109
259,2019-05,19,92976
260,2019-05,20,95897
261,2019-05,21,97113
262,2019-05,22,93305
263,2019-05,23,88230
264,2019-06,0,84059
265,2019-06,1,80415
266,2019-06,2,76934
267,2019-06,3,74528
268,2019-06,4,72896
269,2019-06,5,71688
270,2019-06,6,71816
271,2019-06,7,72063
272,2019-06,8,76418
273,2019-06,9,74721
274,2019-06,10,74414
275,2019-06,11,75714
276,2019-06,12,76685
277,2019-06,13,77757
278,2019-06,14,78045
279,2019-06,15,79326
280,2019-06,16,82127
281,2019-06,17,82619
282,2019-06,18,86485
283,2019-06,19,90036
284,2019-06,20,92629
285,2019-06,21,93746
286,2019-06,22,91473
287,2019-06,23,86975
