,month,TIME,F_MAX
0,1월,0,353.9442050000001
1,1월,1,323.43892
2,1월,2,274.153556
3,1월,3,240.97686300000004
4,1월,4,232.485204
5,1월,5,236.24377600000014
6,1월,6,232.52061800000004
7,1월,7,259.68597099999994
8,1월,8,363.0084390000002
9,1월,9,405.21204
10,1월,10,431.424699
11,1월,11,430.9132229999998
12,1월,12,442.19890099999986
13,1월,13,477.11953200000005
14,1월,14,519.5251979999999
15,1월,15,557.9347729999998
16,1월,16,610.7362850000005
17,1월,17,656.4902139999999
18,1월,18,587.0917129999998
19,1월,19,593.864275
20,1월,20,589.9679159999998
21,1월,21,702.6099909999999
22,1월,22,472.7503219999999
23,1월,23,372.8660640000001
24,2월,0,479.601252
25,2월,1,448.640358
26,2월,2,399.35049999999995
27,2월,3,365.039682
28,2월,4,353.476343
29,2월,5,351.22809099999995
30,2월,6,345.53002799999996
31,2월,7,395.29869699999995
32,2월,8,509.06255699999986
33,2월,9,520.5313840000002
34,2월,10,591.3223829999998
35,2월,11,609.0752789999999
36,2월,12,725.9907209999999
37,2월,13,730.1543939999998
38,2월,14,793.605294
39,2월,15,887.1370789999999
40,2월,16,1000.146043
41,2월,17,1101.712096
42,2월,18,1156.062578
43,2월,19,1143.0771599999998
44,2월,20,966.6541050000002
45,2월,21,1052.973594
46,2월,22,652.8001579999999
47,2월,23,546.570667
48,3월,0,431.294202
49,3월,1,367.840427
50,3월,2,326.59644999999995
51,3월,3,305.62883200000005
52,3월,4,301.9918450000001
53,3월,5,311.08470900000003
54,3월,6,338.03986900000007
55,3월,7,404.3885420000001
56,3월,8,585.7964570000003
57,3월,9,689.3849209999998
58,3월,10,902.0119670000003
59,3월,11,995.2033880000004
60,3월,12,929.6837770000001
61,3월,13,891.360686
62,3월,14,941.0682309999999
63,3월,15,926.4346099999998
64,3월,16,1044.210919
65,3월,17,1061.4836509999998
66,3월,18,1085.8173769999999
67,3월,19,1146.0919329999995
68,3월,20,1107.9246860000003
69,3월,21,963.8994249999998
70,3월,22,698.6679569999994
71,3월,23,513.048047
72,4월,0,482.2900619999999
73,4월,1,424.6304700000001
74,4월,2,378.09358000000003
75,4월,3,343.91379000000006
76,4월,4,397.861045
77,4월,5,500.148117
78,4월,6,423.00439300000005
79,4월,7,463.2555590000001
80,4월,8,699.8110029999998
81,4월,9,762.0747869999996
82,4월,10,814.7429659999996
83,4월,11,1012.192041
84,4월,12,815.291368
