,month,TIME,H_MAX
0,1월,0,514256
1,1월,1,524823
2,1월,2,531910
3,1월,3,535611
4,1월,4,535475
5,1월,5,530991
6,1월,6,516754
7,1월,7,492340
8,1월,8,474902
9,1월,9,451183
10,1월,10,424088
11,1월,11,403003
12,1월,12,384612
13,1월,13,366954
14,1월,14,355874
15,1월,15,350696
16,1월,16,355129
17,1월,17,364720
18,1월,18,376785
19,1월,19,395069
20,1월,20,418521
21,1월,21,444643
22,1월,22,471240
23,1월,23,495716
24,2월,0,513109
25,2월,1,524953
26,2월,2,531830
27,2월,3,535283
28,2월,4,534499
29,2월,5,529012
30,2월,6,515281
31,2월,7,490231
32,2월,8,471218
33,2월,9,448016
34,2월,10,417696
35,2월,11,385268
36,2월,12,362279
37,2월,13,346768
38,2월,14,336826
39,2월,15,334058
40,2월,16,341724
41,2월,17,355744
42,2월,18,373274
43,2월,19,392477
44,2월,20,416844
45,2월,21,444948
46,2월,22,470549
47,2월,23,495202
48,3월,0,584314
49,3월,1,597692
50,3월,2,604962
51,3월,3,608427
52,3월,4,606463
53,3월,5,600800
54,3월,6,586143
55,3월,7,556810
56,3월,8,535296
57,3월,9,512245
58,3월,10,483607
59,3월,11,452103
60,3월,12,428184
61,3월,13,414042
62,3월,14,405652
63,3월,15,405579
64,3월,16,412734
65,3월,17,423707
66,3월,18,437185
67,3월,19,457981
68,3월,20,483392
69,3월,21,511548
70,3월,22,539469
71,3월,23,565762
72,4월,0,512247
73,4월,1,523084
74,4월,2,529542
75,4월,3,532505
76,4월,4,531329
77,4월,5,525200
78,4월,6,510420
79,4월,7,481219
80,4월,8,453536
81,4월,9,429627
82,4월,10,399750
83,4월,11,371177
84,4월,12,349469
85,4월,13,337082
86,4월,14,330820
87,4월,15,333228
88,4월,16,346180
89,4월,17,361091
90,4월,18,376819
91,4월,19,397056
92,4월,20,420579
93,4월,21,445625
94,4월,22,471858
95,4월,23,495521
96,5월,0,506628
97,5월,1,519269
98,5월,2,526564
99,5월,3,530679
100,5월,4,529867
101,5월,5,524502
102,5월,6,505486
103,5월,7,476017
104,5월,8,449592
105,5월,9,424208
106,5월,10,392333
107,5월,11,361776
108,5월,12,339488
109,5월,13,326418
110,5월,14,320986
111,5월,15,323460
112,5월,16,336290
113,5월,17,351774
114,5월,18,367826
115,5월,19,387792
116,5월,20,409909
117,5월,21,436767
118,5월,22,464320
119,5월,23,488459
120,6월,0,504485
121,6월,1,519798
122,6월,2,528915
123,6월,3,533079
