,month,TIME,V_MAX
0,1월,0,166280
1,1월,1,171609
2,1월,2,166567
3,1월,3,159175
4,1월,4,156296
5,1월,5,159267
6,1월,6,179037
7,1월,7,241495
8,1월,8,279238
9,1월,9,234552
10,1월,10,233063
11,1월,11,258754
12,1월,12,295210
13,1월,13,319788
14,1월,14,338302
15,1월,15,345849
16,1월,16,339244
17,1월,17,326907
18,1월,18,317911
19,1월,19,311853
20,1월,20,286338
21,1월,21,256534
22,1월,22,221167
23,1월,23,187621
24,2월,0,175577
25,2월,1,158150
26,2월,2,145734
27,2월,3,137374
28,2월,4,132746
29,2월,5,131486
30,2월,6,135043
31,2월,7,147232
32,2월,8,172300
33,2월,9,201752
34,2월,10,237823
35,2월,11,277443
36,2월,12,316952
37,2월,13,341357
38,2월,14,365298
39,2월,15,374961
40,2월,16,364743
41,2월,17,349286
42,2월,18,340907
43,2월,19,334528
44,2월,20,309791
45,2월,21,275538
46,2월,22,238773
47,2월,23,201928
48,3월,0,201050
49,3월,1,182411
50,3월,2,170739
51,3월,3,162855
52,3월,4,160462
53,3월,5,159490
54,3월,6,164006
55,3월,7,173675
56,3월,8,191440
57,3월,9,212923
58,3월,10,243456
59,3월,11,277645
60,3월,12,311413
61,3월,13,338488
62,3월,14,359782
63,3월,15,369781
64,3월,16,365398
65,3월,17,357738
66,3월,18,349205
67,3월,19,337485
68,3월,20,316679
69,3월,21,288776
70,3월,22,256400
71,3월,23,226147
72,4월,0,221682
73,4월,1,205849
74,4월,2,194734
75,4월,3,187665
76,4월,4,183033
77,4월,5,181677
78,4월,6,191495
79,4월,7,206086
80,4월,8,236480
81,4월,9,261900
82,4월,10,307366
83,4월,11,343063
84,4월,12,375353
85,4월,13,386389
86,4월,14,398527
87,4월,15,399925
88,4월,16,395550
89,4월,17,386510
90,4월,18,377542
91,4월,19,368461
92,4월,20,345836
93,4월,21,314753
94,4월,22,280017
95,4월,23,247795
96,5월,0,224625
97,5월,1,207824
98,5월,2,195248
99,5월,3,186074
100,5월,4,181299
101,5월,5,179202
102,5월,6,187907
103,5월,7,200804
104,5월,8,230872
105,5월,9,254128
106,5월,10,289162
107,5월,11,323902
108,5월,12,367675
109,5월,13,396073
110,5월,14,414917
111,5월,15,417919
112,5월,16,407202
113,5월,17,396782
114,5월,18,389009
115,5월,19,388289
116,5월,20,369570
117,5월,21,341604
118,5월,22,291157
119,5월,23,250310
120,6월,0,222733
121,6월,1,203762
122,6월,2,190179
123,6월,3,183907
124,6월,4,177783
125,6월,5,177080
126,6월,6,187601
127,6월,7,200964
128,6월,8,232778
129,6월,9,254750
130,6월,10,284555
131,6월,11,317047
132,6월,12,356792
133,6월,13,386275
134,6월,14,404236
135,6월,15,405733
136,6월,16,399902
137,6월,17,387990
138,6월,18,379360
139,6월,19,373415
140,6월,20,355942
141,6월,21,325869
142,6월,22,287651
143,6월,23,252667
144,7월,0,171999
145,7월,1,156362
146,7월,2,146272
147,7월,3,138896
148,7월,4,135249
149,7월,5,135873
150,7월,6,142819
151,7월,7,156146
152,7월,8,178820
153,7월,9,200180
154,7월,10,227571
155,7월,11,257398
156,7월,12,287321
157,7월,13,303097
158,7월,14,315185
159,7월,15,319717
160,7월,16,311820
161,7월,17,303907
162,7월,18,303281
163,7월,19,303425
164,7월,20,294435
165,7월,21,266889
166,7월,22,230090
167,7월,23,196685
168,8월,0,175761
169,8월,1,151509
170,8월,2,137371
171,8월,3,128314
172,8월,4,123600
173,8월,5,124683
174,8월,6,135419
175,8월,7,153257
176,8월,8,181687
177,8월,9,197615
178,8월,10,230293
179,8월,11,261865
180,8월,12,293775
181,8월,13,310324
182,8월,14,320487
183,8월,15,324336
184,8월,16,321761
185,8월,17,322218
186,8월,18,334327
187,8월,19,334112
188,8월,20,322234
189,8월,21,295202
190,8월,22,251563
191,8월,23,208969
192,9월,0,198540
193,9월,1,184036
194,9월,2,173979
195,9월,3,169161
196,9월,4,165812
197,9월,5,166210
198,9월,6,179210
199,9월,7,204874
200,9월,8,249331
201,9월,9,275629
202,9월,10,293053
203,9월,11,319470
204,9월,12,344138
205,9월,13,364674
206,9월,14,376737
207,9월,15,388099
208,9월,16,382084
209,9월,17,377579
210,9월,18,371405
211,9월,19,351550
212,9월,20,321410
213,9월,21,289590
214,9월,22,254533
215,9월,23,223483
216,10월,0,172528
217,10월,1,156452
218,10월,2,141746
219,10월,3,133607
220,10월,4,128440
221,10월,5,128985
222,10월,6,136969
223,10월,7,160009
224,10월,8,200529
225,10월,9,230175
226,10월,10,262492
227,10월,11,296774
228,10월,12,332010
229,10월,13,357082
230,10월,14,373740
231,10월,15,385895
232,10월,16,399047
233,10월,17,410844
234,10월,18,440052
235,10월,19,462262
236,10월,20,474467
237,10월,21,388652
238,10월,22,275630
239,10월,23,205975
240,11월,0,158611
241,11월,1,141953
242,11월,2,125506
243,11월,3,121199
244,11월,4,115269
245,11월,5,117521
246,11월,6,131994
247,11월,7,153294
248,11월,8,196333
249,11월,9,223808
250,11월,10,264879
251,11월,11,298542
252,11월,12,333383
253,11월,13,356336
254,11월,14,369114
255,11월,15,369961
256,11월,16,352838
257,11월,17,341000
258,11월,18,335242
259,11월,19,321996
260,11월,20,295476
261,11월,21,257850
262,11월,22,219250
263,11월,23,184749
264,12월,0,185684
265,12월,1,166474
266,12월,2,149008
267,12월,3,140549
268,12월,4,134373
269,12월,5,135761
270,12월,6,146883
271,12월,7,168874
272,12월,8,214761
273,12월,9,237624
274,12월,10,274707
275,12월,11,313785
276,12월,12,361800
277,12월,13,391083
278,12월,14,415944
279,12월,15,420230
280,12월,16,420226
281,12월,17,413879
282,12월,18,412620
283,12월,19,391243
284,12월,20,361487
285,12월,21,324291
286,12월,22,291519
287,12월,23,261569
