,STD_YM,TIME,A_MAX
0,2018-07,0,722374
1,2018-07,1,717941
2,2018-07,2,715922
3,2018-07,3,713461
4,2018-07,4,711572
5,2018-07,5,710264
6,2018-07,6,709434
7,2018-07,7,715474
8,2018-07,8,739107
9,2018-07,9,764294
10,2018-07,10,774797
11,2018-07,11,780374
12,2018-07,12,784690
13,2018-07,13,791305
14,2018-07,14,796751
15,2018-07,15,801379
16,2018-07,16,797009
17,2018-07,17,789550
18,2018-07,18,778293
19,2018-07,19,765017
20,2018-07,20,765025
21,2018-07,21,751227
22,2018-07,22,738251
23,2018-07,23,729822
24,2018-08,0,749239
25,2018-08,1,738464
26,2018-08,2,730670
27,2018-08,3,726238
28,2018-08,4,725648
29,2018-08,5,720611
30,2018-08,6,723860
31,2018-08,7,729170
32,2018-08,8,761673
33,2018-08,9,780255
34,2018-08,10,798365
35,2018-08,11,797253
36,2018-08,12,803924
37,2018-08,13,800892
38,2018-08,14,807692
39,2018-08,15,812781
40,2018-08,16,811446
41,2018-08,17,811521
42,2018-08,18,810756
43,2018-08,19,808525
44,2018-08,20,807761
45,2018-08,21,803806
46,2018-08,22,777755
47,2018-08,23,767284
48,2018-09,0,742614
49,2018-09,1,742389
50,2018-09,2,733126
51,2018-09,3,734455
52,2018-09,4,728453
53,2018-09,5,724216
54,2018-09,6,726426
55,2018-09,7,740644
56,2018-09,8,778108
57,2018-09,9,800401
58,2018-09,10,802775
59,2018-09,11,807199
60,2018-09,12,815338
61,2018-09,13,820887
62,2018-09,14,827564
63,2018-09,15,836665
64,2018-09,16,826324
65,2018-09,17,823539
66,2018-09,18,810258
67,2018-09,19,788693
68,2018-09,20,776497
69,2018-09,21,765037
70,2018-09,22,757372
71,2018-09,23,747686
72,2018-10,0,741940
73,2018-10,1,734843
74,2018-10,2,726676
75,2018-10,3,722886
76,2018-10,4,716001
77,2018-10,5,712324
78,2018-10,6,711359
79,2018-10,7,724540
80,2018-10,8,762840
81,2018-10,9,792040
82,2018-10,10,801666
83,2018-10,11,810912
84,2018-10,12,815884
85,2018-10,13,823238
86,2018-10,14,830041
87,2018-10,15,836537
88,2018-10,16,848806
89,2018-10,17,864091
90,2018-10,18,894818
91,2018-10,19,908225
92,2018-10,20,931590
93,2018-10,21,865929
94,2018-10,22,791202
95,2018-10,23,753870
96,2018-11,0,726705
97,2018-11,1,723269
98,2018-11,2,713117
99,2018-11,3,712635
100,2018-11,4,706843
101,2018-11,5,704673
102,2018-11,6,705631
103,2018-11,7,716528
104,2018-11,8,756345
105,2018-11,9,773658
106,2018-11,10,785973
107,2018-11,11,795327
108,2018-11,12,804168
109,2018-11,13,809806
110,2018-11,14,816225
111,2018-11,15,811775
112,2018-11,16,812952
113,2018-11,17,802431
114,2018-11,18,786677
115,2018-11,19,775773
116,2018-11,20,768377
