,month,TIME,F_MAX
0,1월,0,7675.898046999987
1,1월,1,7680.3875169999965
2,1월,2,6072.71112099999
3,1월,3,5509.876412999995
4,1월,4,5316.492652000004
5,1월,5,5393.129551000001
6,1월,6,5367.348559999993
7,1월,7,6432.446962999995
8,1월,8,7883.166190000014
9,1월,9,9730.659015999989
10,1월,10,10890.118479
11,1월,11,11902.811896999987
12,1월,12,12208.34612099999
13,1월,13,12111.062876000024
14,1월,14,13177.448443999994
15,1월,15,13185.848305
16,1월,16,12876.163824999987
17,1월,17,12794.757941000002
18,1월,18,12148.250605000007
19,1월,19,11063.54754300002
20,1월,20,10326.18107900001
21,1월,21,9587.850980000001
22,1월,22,8346.48738300001
23,1월,23,8007.186732999988
24,2월,0,10578.778297999994
25,2월,1,10161.369755000016
26,2월,2,8369.443725999981
27,2월,3,7675.726074
28,2월,4,7377.802528999997
29,2월,5,7479.953907999997
30,2월,6,7656.381126000005
31,2월,7,9233.693794000003
32,2월,8,11336.180350999994
33,2월,9,13288.940732000023
34,2월,10,15475.706045
35,2월,11,17573.684512999993
36,2월,12,18053.573215999997
37,2월,13,18094.355268999974
38,2월,14,19153.042560000024
39,2월,15,19574.80419800004
40,2월,16,19423.285078000004
41,2월,17,19171.654244999987
42,2월,18,18093.984302000004
43,2월,19,17058.021041999986
44,2월,20,15965.606325000004
45,2월,21,14332.434030000026
46,2월,22,12259.954032000016
47,2월,23,11208.545088000012
48,3월,0,9580.439850000013
49,3월,1,8385.524612999987
50,3월,2,7285.636981000004
51,3월,3,7031.050080999997
52,3월,4,7000.20332400001
53,3월,5,7268.806720999994
54,3월,6,8468.286324000006
55,3월,7,10366.449747
56,3월,8,12604.267651
57,3월,9,14911.22913200002
58,3월,10,16268.419966
59,3월,11,17708.496540999986
60,3월,12,17846.287183999997
61,3월,13,18100.04046299998
62,3월,14,18439.42166900001
63,3월,15,18264.17526099997
64,3월,16,18421.737334999983
65,3월,17,18053.603571000025
66,3월,18,17687.01672800001
67,3월,19,16920.912292000008
68,3월,20,16819.330656999962
69,3월,21,15613.404638000002
70,3월,22,13346.128344999985
71,3월,23,11191.358679999998
72,4월,0,11095.324461
73,4월,1,9714.577953999984
74,4월,2,9181.497910000006
75,4월,3,8625.405052000006
76,4월,4,8951.801654000003
77,4월,5,9562.698389000001
78,4월,6,11673.160427999986
79,4월,7,13749.34142200001
80,4월,8,16311.445509000016
81,4월,9,18114.075474
82,4월,10,18817.736552000035
83,4월,11,19727.718439000022
84,4월,12,20329.94434300002
85,4월,13,21115.99209000002
86,4월,14,22036.231942999995
87,4월,15,22386.864532999956
88,4월,16,22586.075825000044
89,4월,17,23144.653075999948
