,month,TIME,H_MAX
0,1월,0,93210
1,1월,1,95696
2,1월,2,97320
3,1월,3,98313
4,1월,4,98464
5,1월,5,97771
6,1월,6,95137
7,1월,7,90767
8,1월,8,87031
9,1월,9,82404
10,1월,10,76962
11,1월,11,73141
12,1월,12,69797
13,1월,13,65872
14,1월,14,63665
15,1월,15,62218
16,1월,16,62905
17,1월,17,65016
18,1월,18,66546
19,1월,19,69698
20,1월,20,74104
21,1월,21,78917
22,1월,22,84163
23,1월,23,89067
24,2월,0,95124
25,2월,1,97761
26,2월,2,99228
27,2월,3,100204
28,2월,4,99998
29,2월,5,98931
30,2월,6,96576
31,2월,7,92235
32,2월,8,88073
33,2월,9,83593
34,2월,10,78306
35,2월,11,71700
36,2월,12,67211
37,2월,13,63611
38,2월,14,61525
39,2월,15,60947
40,2월,16,62500
41,2월,17,65089
42,2월,18,67818
43,2월,19,71299
44,2월,20,75657
45,2월,21,81517
46,2월,22,86452
47,2월,23,91279
48,3월,0,113510
49,3월,1,117358
50,3월,2,118702
51,3월,3,119507
52,3월,4,118985
53,3월,5,117773
54,3월,6,115160
55,3월,7,110250
56,3월,8,103829
57,3월,9,99124
58,3월,10,93308
59,3월,11,86791
60,3월,12,81676
61,3월,13,78601
62,3월,14,76777
63,3월,15,76704
64,3월,16,77939
65,3월,17,80178
66,3월,18,82250
67,3월,19,86492
68,3월,20,91434
69,3월,21,98043
70,3월,22,104087
71,3월,23,109499
72,4월,0,98502
73,4월,1,100957
74,4월,2,102216
75,4월,3,102900
76,4월,4,102643
77,4월,5,101362
78,4월,6,98628
79,4월,7,93906
80,4월,8,87775
81,4월,9,83265
82,4월,10,77515
83,4월,11,71722
84,4월,12,67219
85,4월,13,64658
86,4월,14,63241
87,4월,15,63484
88,4월,16,65928
89,4월,17,68878
90,4월,18,71423
91,4월,19,75292
92,4월,20,80057
93,4월,21,85266
94,4월,22,90545
95,4월,23,95050
96,5월,0,97809
97,5월,1,101003
98,5월,2,102571
99,5월,3,103432
100,5월,4,103111
101,5월,5,102229
102,5월,6,98945
103,5월,7,93660
104,5월,8,87472
105,5월,9,82040
106,5월,10,75843
107,5월,11,69698
108,5월,12,65119
109,5월,13,61812
110,5월,14,60831
111,5월,15,61704
112,5월,16,63687
113,5월,17,66275
114,5월,18,69525
115,5월,19,73401
116,5월,20,77983
117,5월,21,83931
118,5월,22,89146
119,5월,23,94254
120,6월,0,98098
121,6월,1,101752
122,6월,2,103905
123,6월,3,104831
124,6월,4,104915
125,6월,5,103780
126,6월,6,100104
127,6월,7,94350
128,6월,8,88611
129,6월,9,83196
130,6월,10,77125
131,6월,11,71210
132,6월,12,66887
133,6월,13,64179
134,6월,14,62144
135,6월,15,62588
136,6월,16,64019
137,6월,17,66323
138,6월,18,68876
139,6월,19,72007
140,6월,20,76811
141,6월,21,83071
142,6월,22,89049
143,6월,23,94033
144,7월,0,103132
145,7월,1,106356
146,7월,2,107833
147,7월,3,108888
148,7월,4,109023
149,7월,5,108305
150,7월,6,105116
151,7월,7,99439
152,7월,8,94640
153,7월,9,89498
154,7월,10,83525
155,7월,11,77045
156,7월,12,73119
157,7월,13,70521
158,7월,14,68954
159,7월,15,68985
160,7월,16,70251
161,7월,17,72632
162,7월,18,75277
163,7월,19,79667
