,month,TIME,W_MAX
0,1월,0,2542
1,1월,1,1942
2,1월,2,1605
3,1월,3,1515
4,1월,4,1460
5,1월,5,1593
6,1월,6,2317
7,1월,7,5185
8,1월,8,10817
9,1월,9,23999
10,1월,10,31057
11,1월,11,33768
12,1월,12,33749
13,1월,13,34473
14,1월,14,35322
15,1월,15,34955
16,1월,16,34079
17,1월,17,32255
18,1월,18,27095
19,1월,19,18067
20,1월,20,13496
21,1월,21,9318
22,1월,22,5570
23,1월,23,3492
24,2월,0,2622
25,2월,1,2158
26,2월,2,1779
27,2월,3,1682
28,2월,4,1694
29,2월,5,1842
30,2월,6,2628
31,2월,7,5229
32,2월,8,11450
33,2월,9,24422
34,2월,10,31436
35,2월,11,34120
36,2월,12,33512
37,2월,13,34714
38,2월,14,35657
39,2월,15,35281
40,2월,16,34374
41,2월,17,32161
42,2월,18,26868
43,2월,19,17591
44,2월,20,13204
45,2월,21,8920
46,2월,22,5940
47,2월,23,3765
48,3월,0,1905
49,3월,1,1461
50,3월,2,1235
51,3월,3,1165
52,3월,4,1193
53,3월,5,1298
54,3월,6,1813
55,3월,7,4717
56,3월,8,9279
57,3월,9,18797
58,3월,10,25548
59,3월,11,27628
60,3월,12,27366
61,3월,13,27923
62,3월,14,28503
63,3월,15,30028
64,3월,16,29350
65,3월,17,27559
66,3월,18,23466
67,3월,19,14099
68,3월,20,10159
69,3월,21,6724
70,3월,22,4481
71,3월,23,2622
72,4월,0,3275
73,4월,1,2734
74,4월,2,2474
75,4월,3,2298
76,4월,4,2229
77,4월,5,2444
78,4월,6,3208
79,4월,7,6924
80,4월,8,12892
81,4월,9,22216
82,4월,10,27933
83,4월,11,30415
84,4월,12,30039
85,4월,13,31017
86,4월,14,31544
87,4월,15,31163
88,4월,16,30308
89,4월,17,28297
90,4월,18,23548
91,4월,19,15734
92,4월,20,11615
93,4월,21,8030
94,4월,22,5290
95,4월,23,3601
96,5월,0,3507
97,5월,1,2883
98,5월,2,2451
99,5월,3,2237
100,5월,4,1874
101,5월,5,1927
102,5월,6,2915
103,5월,7,6856
104,5월,8,12943
105,5월,9,22113
106,5월,10,27535
107,5월,11,29980
108,5월,12,29724
109,5월,13,30677
110,5월,14,30989
111,5월,15,30553
112,5월,16,29728
113,5월,17,27488
114,5월,18,22582
115,5월,19,14899
116,5월,20,11409
117,5월,21,8081
118,5월,22,5403
119,5월,23,3850
120,6월,0,3476
121,6월,1,2708
122,6월,2,2309
123,6월,3,2241
124,6월,4,2220
125,6월,5,2319
126,6월,6,3209
127,6월,7,7411
128,6월,8,13612
129,6월,9,23066
130,6월,10,28645
131,6월,11,30927
132,6월,12,30401
133,6월,13,31647
134,6월,14,32111
135,6월,15,31770
136,6월,16,30751
137,6월,17,28516
138,6월,18,23543
139,6월,19,15860
140,6월,20,12384
141,6월,21,8887
142,6월,22,5808
143,6월,23,3799
144,7월,0,2934
145,7월,1,2472
146,7월,2,2146
147,7월,3,2079
148,7월,4,2065
149,7월,5,2267
150,7월,6,3069
151,7월,7,5540
152,7월,8,11677
153,7월,9,22126
154,7월,10,27551
155,7월,11,29386
156,7월,12,28989
157,7월,13,30133
158,7월,14,30646
159,7월,15,30264
160,7월,16,29331
161,7월,17,27213
162,7월,18,22073
163,7월,19,15292
164,7월,20,11718
165,7월,21,8303
166,7월,22,5534
167,7월,23,3731
168,8월,0,2509
169,8월,1,1907
170,8월,2,1615
171,8월,3,1493
172,8월,4,1705
173,8월,5,1629
174,8월,6,3008
175,8월,7,6115
176,8월,8,14698
177,8월,9,24405
178,8월,10,29859
179,8월,11,31818
180,8월,12,31505
181,8월,13,33010
182,8월,14,33482
183,8월,15,32974
184,8월,16,31918
185,8월,17,30090
186,8월,18,24617
187,8월,19,17128
188,8월,20,13063
189,8월,21,8916
190,8월,22,5375
191,8월,23,3241
192,9월,0,2633
193,9월,1,1962
194,9월,2,1589
195,9월,3,1465
196,9월,4,1448
197,9월,5,1726
198,9월,6,3370
199,9월,7,6722
200,9월,8,16342
201,9월,9,27103
202,9월,10,32974
203,9월,11,35123
204,9월,12,34319
205,9월,13,35793
206,9월,14,35900
207,9월,15,35560
208,9월,16,34190
209,9월,17,31234
210,9월,18,24406
211,9월,19,17009
212,9월,20,13526
213,9월,21,8291
214,9월,22,4976
215,9월,23,3417
216,10월,0,2795
217,10월,1,2123
218,10월,2,1958
219,10월,3,1866
220,10월,4,1909
221,10월,5,2127
222,10월,6,3563
223,10월,7,7067
224,10월,8,16699
225,10월,9,27377
226,10월,10,32969
227,10월,11,34861
228,10월,12,34412
229,10월,13,35902
230,10월,14,35852
231,10월,15,35671
232,10월,16,34265
233,10월,17,31543
234,10월,18,24270
235,10월,19,17615
236,10월,20,13351
237,10월,21,8459
238,10월,22,5238
239,10월,23,3561
240,11월,0,2613
241,11월,1,2145
242,11월,2,1853
243,11월,3,1796
244,11월,4,1746
245,11월,5,1954
246,11월,6,3579
247,11월,7,7026
248,11월,8,16769
249,11월,9,27340
250,11월,10,33302
251,11월,11,35327
252,11월,12,34558
253,11월,13,36395
254,11월,14,36391
255,11월,15,35697
256,11월,16,34496
257,11월,17,31667
258,11월,18,24428
259,11월,19,17683
260,11월,20,13607
261,11월,21,8513
262,11월,22,5045
263,11월,23,3545
264,12월,0,3052
265,12월,1,2477
266,12월,2,2111
267,12월,3,2171
268,12월,4,2166
269,12월,5,2382
270,12월,6,3956
271,12월,7,7504
272,12월,8,17322
273,12월,9,28518
274,12월,10,35384
275,12월,11,37132
276,12월,12,37023
277,12월,13,38734
278,12월,14,38438
279,12월,15,37828
280,12월,16,37033
281,12월,17,33414
282,12월,18,25591
283,12월,19,18561
284,12월,20,13980
285,12월,21,8738
286,12월,22,5466
287,12월,23,3763
