,month,TIME,V_MAX
0,1월,0,47920
1,1월,1,50308
2,1월,2,50292
3,1월,3,48663
4,1월,4,47797
5,1월,5,48818
6,1월,6,52621
7,1월,7,67526
8,1월,8,75534
9,1월,9,61792
10,1월,10,57065
11,1월,11,63748
12,1월,12,72306
13,1월,13,79207
14,1월,14,84932
15,1월,15,89650
16,1월,16,89703
17,1월,17,87231
18,1월,18,85022
19,1월,19,80816
20,1월,20,75226
21,1월,21,67554
22,1월,22,59169
23,1월,23,52528
24,2월,0,50905
25,2월,1,47351
26,2월,2,44576
27,2월,3,42687
28,2월,4,41606
29,2월,5,41058
30,2월,6,41123
31,2월,7,42672
32,2월,8,44675
33,2월,9,50975
34,2월,10,57954
35,2월,11,68363
36,2월,12,78512
37,2월,13,85298
38,2월,14,92095
39,2월,15,94965
40,2월,16,92218
41,2월,17,90041
42,2월,18,89770
43,2월,19,87300
44,2월,20,81962
45,2월,21,71715
46,2월,22,64095
47,2월,23,56434
48,3월,0,61055
49,3월,1,56369
50,3월,2,53270
51,3월,3,51158
52,3월,4,50716
53,3월,5,49925
54,3월,6,49902
55,3월,7,51290
56,3월,8,54318
57,3월,9,59699
58,3월,10,64680
59,3월,11,74756
60,3월,12,80521
61,3월,13,86374
62,3월,14,92262
63,3월,15,95459
64,3월,16,94509
65,3월,17,93957
66,3월,18,90721
67,3월,19,88240
68,3월,20,85212
69,3월,21,79554
70,3월,22,72796
71,3월,23,65991
72,4월,0,66503
73,4월,1,62575
74,4월,2,60119
75,4월,3,58651
76,4월,4,57256
77,4월,5,56344
78,4월,6,57528
79,4월,7,58728
80,4월,8,59445
81,4월,9,62824
82,4월,10,70402
83,4월,11,77695
84,4월,12,86837
85,4월,13,90504
86,4월,14,97107
87,4월,15,99655
88,4월,16,99999
89,4월,17,99585
90,4월,18,97359
91,4월,19,95463
92,4월,20,90070
93,4월,21,82693
94,4월,22,76924
95,4월,23,72127
96,5월,0,61126
97,5월,1,57718
98,5월,2,55428
99,5월,3,53812
100,5월,4,52629
101,5월,5,51892
102,5월,6,53209
103,5월,7,54915
104,5월,8,56781
105,5월,9,59826
106,5월,10,68207
107,5월,11,77083
108,5월,12,85111
109,5월,13,92873
110,5월,14,98690
111,5월,15,101130
112,5월,16,100727
113,5월,17,98096
114,5월,18,96689
115,5월,19,97555
116,5월,20,93951
117,5월,21,87245
118,5월,22,73416
119,5월,23,65725
120,6월,0,54810
121,6월,1,50213
122,6월,2,46824
123,6월,3,45647
124,6월,4,44523
125,6월,5,43939
126,6월,6,45072
127,6월,7,47307
128,6월,8,49330
129,6월,9,53827
130,6월,10,60736
131,6월,11,70105
132,6월,12,79885
133,6월,13,86847
134,6월,14,93481
135,6월,15,96608
136,6월,16,97610
137,6월,17,96109
138,6월,18,92837
139,6월,19,89843
140,6월,20,87084
141,6월,21,78933
142,6월,22,68812
143,6월,23,60252
144,7월,0,47986
145,7월,1,44330
146,7월,2,41792
147,7월,3,40492
148,7월,4,39740
149,7월,5,39829
150,7월,6,41177
151,7월,7,42514
152,7월,8,44405
153,7월,9,49209
154,7월,10,55700
155,7월,11,64557
156,7월,12,72432
157,7월,13,78360
158,7월,14,83789
159,7월,15,85939
160,7월,16,83239
161,7월,17,80884
162,7월,18,76936
163,7월,19,75016
164,7월,20,72821
165,7월,21,66844
166,7월,22,59905
167,7월,23,53545
168,8월,0,54952
169,8월,1,47695
170,8월,2,41903
171,8월,3,39814
172,8월,4,38154
173,8월,5,38501
174,8월,6,39946
175,8월,7,41412
176,8월,8,44883
177,8월,9,49727
178,8월,10,56324
179,8월,11,65436
180,8월,12,75765
181,8월,13,82813
182,8월,14,88853
183,8월,15,88056
184,8월,16,87681
185,8월,17,87233
186,8월,18,85502
187,8월,19,83642
188,8월,20,78990
189,8월,21,73780
190,8월,22,65445
191,8월,23,59446
192,9월,0,44545
193,9월,1,41168
194,9월,2,38533
195,9월,3,37112
196,9월,4,36435
197,9월,5,36105
198,9월,6,37985
199,9월,7,40675
200,9월,8,47256
201,9월,9,50277
202,9월,10,54200
203,9월,11,65695
204,9월,12,77928
205,9월,13,87044
206,9월,14,95905
207,9월,15,99728
208,9월,16,97105
209,9월,17,95928
210,9월,18,91795
211,9월,19,84174
212,9월,20,76448
213,9월,21,65224
214,9월,22,55439
215,9월,23,49685
216,10월,0,43474
217,10월,1,40511
218,10월,2,38384
219,10월,3,37947
220,10월,4,36240
221,10월,5,35930
222,10월,6,37187
223,10월,7,38183
224,10월,8,44336
225,10월,9,50433
226,10월,10,55376
227,10월,11,65932
228,10월,12,75699
229,10월,13,84254
230,10월,14,88506
231,10월,15,91038
232,10월,16,93360
233,10월,17,89619
234,10월,18,88978
235,10월,19,88782
236,10월,20,87991
237,10월,21,74429
238,10월,22,62138
239,10월,23,49988
240,11월,0,42764
241,11월,1,40217
242,11월,2,34595
243,11월,3,36080
244,11월,4,32057
245,11월,5,34425
246,11월,6,36042
247,11월,7,38311
248,11월,8,44945
249,11월,9,55462
250,11월,10,68393
251,11월,11,83694
252,11월,12,94392
253,11월,13,103440
254,11월,14,113310
255,11월,15,111653
256,11월,16,108276
257,11월,17,98226
258,11월,18,87864
259,11월,19,83122
260,11월,20,72503
261,11월,21,63914
262,11월,22,54637
263,11월,23,48581
264,12월,0,52113
265,12월,1,47215
266,12월,2,43659
267,12월,3,41774
268,12월,4,39943
269,12월,5,40165
270,12월,6,42281
271,12월,7,44967
272,12월,8,51475
273,12월,9,56435
274,12월,10,63717
275,12월,11,73546
276,12월,12,83119
277,12월,13,91380
278,12월,14,97910
279,12월,15,99080
280,12월,16,100297
281,12월,17,100496
282,12월,18,96977
283,12월,19,95216
284,12월,20,91445
285,12월,21,79577
286,12월,22,71599
287,12월,23,64737
