,STD_YM,TIME,A_MAX
0,2018-07,0,141928
1,2018-07,1,141085
2,2018-07,2,140460
3,2018-07,3,140129
4,2018-07,4,139577
5,2018-07,5,139367
6,2018-07,6,139206
7,2018-07,7,139381
8,2018-07,8,141571
9,2018-07,9,146594
10,2018-07,10,149728
11,2018-07,11,152562
12,2018-07,12,156875
13,2018-07,13,159704
14,2018-07,14,164098
15,2018-07,15,166390
16,2018-07,16,164324
17,2018-07,17,161215
18,2018-07,18,156562
19,2018-07,19,154083
20,2018-07,20,153526
21,2018-07,21,149231
22,2018-07,22,145507
23,2018-07,23,143664
24,2018-08,0,157069
25,2018-08,1,151769
26,2018-08,2,145893
27,2018-08,3,145447
28,2018-08,4,144604
29,2018-08,5,144691
30,2018-08,6,144212
31,2018-08,7,143238
32,2018-08,8,148194
33,2018-08,9,153142
34,2018-08,10,159960
35,2018-08,11,160327
36,2018-08,12,166469
37,2018-08,13,166814
38,2018-08,14,172800
39,2018-08,15,171418
40,2018-08,16,172087
41,2018-08,17,171467
42,2018-08,18,171039
43,2018-08,19,170331
44,2018-08,20,168340
45,2018-08,21,164176
46,2018-08,22,158036
47,2018-08,23,158545
48,2018-09,0,143706
49,2018-09,1,143109
50,2018-09,2,140922
51,2018-09,3,139803
52,2018-09,4,137621
53,2018-09,5,136547
54,2018-09,6,137233
55,2018-09,7,137552
56,2018-09,8,146297
57,2018-09,9,152506
58,2018-09,10,153827
59,2018-09,11,157544
60,2018-09,12,163844
61,2018-09,13,172969
62,2018-09,14,180520
63,2018-09,15,182418
64,2018-09,16,178414
65,2018-09,17,180353
66,2018-09,18,176114
67,2018-09,19,166698
68,2018-09,20,163034
69,2018-09,21,151729
70,2018-09,22,147400
71,2018-09,23,144605
72,2018-10,0,143530
73,2018-10,1,142337
74,2018-10,2,141669
75,2018-10,3,141722
76,2018-10,4,139184
77,2018-10,5,138212
78,2018-10,6,136941
79,2018-10,7,138264
80,2018-10,8,145067
81,2018-10,9,152363
82,2018-10,10,155158
83,2018-10,11,157408
84,2018-10,12,162109
85,2018-10,13,164669
86,2018-10,14,169103
87,2018-10,15,170446
88,2018-10,16,170780
89,2018-10,17,168884
90,2018-10,18,169903
91,2018-10,19,168054
92,2018-10,20,167480
93,2018-10,21,154525
94,2018-10,22,151818
95,2018-10,23,145990
96,2018-11,0,141431
97,2018-11,1,141617
98,2018-11,2,137725
99,2018-11,3,138971
100,2018-11,4,136285
101,2018-11,5,134890
102,2018-11,6,134719
103,2018-11,7,135854
104,2018-11,8,141564
105,2018-11,9,147869
106,2018-11,10,157804
107,2018-11,11,168538
108,2018-11,12,177127
109,2018-11,13,182220
110,2018-11,14,189149
111,2018-11,15,186846
112,2018-11,16,186970
113,2018-11,17,176499
114,2018-11,18,166054
115,2018-11,19,164294
116,2018-11,20,157043
117,2018-11,21,149683
118,2018-11,22,144264
119,2018-11,23,144361
120,2018-12,0,157425
121,2018-12,1,153548
122,2018-12,2,151692
123,2018-12,3,150785
124,2018-12,4,149069
125,2018-12,5,149030
126,2018-12,6,148312
127,2018-12,7,150486
128,2018-12,8,158804
129,2018-12,9,160184
130,2018-12,10,165372
131,2018-12,11,166953
132,2018-12,12,174625
133,2018-12,13,179859
134,2018-12,14,184653
135,2018-12,15,185163
136,2018-12,16,186373
137,2018-12,17,188864
138,2018-12,18,184106
139,2018-12,19,183379
140,2018-12,20,180074
141,2018-12,21,169684
142,2018-12,22,163543
143,2018-12,23,158802
144,2019-01,0,135405
145,2019-01,1,135245
146,2019-01,2,136431
147,2019-01,3,136829
148,2019-01,4,136161
149,2019-01,5,136724
150,2019-01,6,139484
151,2019-01,7,151276
152,2019-01,8,157478
153,2019-01,9,149104
154,2019-01,10,151540
155,2019-01,11,155843
156,2019-01,12,157170
157,2019-01,13,158595
158,2019-01,14,162672
159,2019-01,15,166460
160,2019-01,16,166329
161,2019-01,17,163492
162,2019-01,18,160098
163,2019-01,19,154648
164,2019-01,20,150800
165,2019-01,21,145126
166,2019-01,22,140401
167,2019-01,23,137278
168,2019-02,0,139814
169,2019-02,1,138369
170,2019-02,2,137045
171,2019-02,3,135966
172,2019-02,4,135071
173,2019-02,5,134264
174,2019-02,6,133350
175,2019-02,7,134386
176,2019-02,8,134879
177,2019-02,9,142809
178,2019-02,10,148717
179,2019-02,11,152967
180,2019-02,12,158984
181,2019-02,13,161695
182,2019-02,14,166902
183,2019-02,15,169713
184,2019-02,16,167972
185,2019-02,17,166264
186,2019-02,18,165117
187,2019-02,19,162452
188,2019-02,20,158610
189,2019-02,21,149970
190,2019-02,22,145077
191,2019-02,23,141343
192,2019-03,0,161520
193,2019-03,1,161138
194,2019-03,2,159896
195,2019-03,3,159091
196,2019-03,4,158104
197,2019-03,5,156943
198,2019-03,6,155740
199,2019-03,7,156566
200,2019-03,8,159050
201,2019-03,9,161387
202,2019-03,10,162856
203,2019-03,11,166717
204,2019-03,12,168578
205,2019-03,13,171272
206,2019-03,14,174878
207,2019-03,15,179340
208,2019-03,16,177998
209,2019-03,17,178113
210,2019-03,18,174914
211,2019-03,19,169938
212,2019-03,20,168578
213,2019-03,21,167075
214,2019-03,22,164254
215,2019-03,23,162012
216,2019-04,0,157506
217,2019-04,1,155181
218,2019-04,2,153831
219,2019-04,3,152798
220,2019-04,4,151693
221,2019-04,5,150508
222,2019-04,6,150141
223,2019-04,7,151581
224,2019-04,8,150483
225,2019-04,9,151273
226,2019-04,10,155705
227,2019-04,11,158828
228,2019-04,12,163786
229,2019-04,13,166161
230,2019-04,14,171002
231,2019-04,15,172091
232,2019-04,16,172838
233,2019-04,17,172479
234,2019-04,18,171314
235,2019-04,19,168532
236,2019-04,20,165860
237,2019-04,21,161712
238,2019-04,22,158362
239,2019-04,23,157165
240,2019-05,0,147105
241,2019-05,1,145248
242,2019-05,2,144147
243,2019-05,3,143938
244,2019-05,4,143024
245,2019-05,5,142109
246,2019-05,6,141922
247,2019-05,7,143335
248,2019-05,8,144670
249,2019-05,9,148917
250,2019-05,10,153047
251,2019-05,11,155378
252,2019-05,12,158094
253,2019-05,13,162092
254,2019-05,14,167460
255,2019-05,15,169707
256,2019-05,16,170077
257,2019-05,17,169105
258,2019-05,18,168051
259,2019-05,19,168753
260,2019-05,20,166560
261,2019-05,21,161226
262,2019-05,22,153310
263,2019-05,23,148197
264,2019-06,0,147622
265,2019-06,1,145502
266,2019-06,2,143962
267,2019-06,3,143181
268,2019-06,4,142120
269,2019-06,5,141163
270,2019-06,6,141062
271,2019-06,7,143250
272,2019-06,8,142978
273,2019-06,9,146057
274,2019-06,10,152653
275,2019-06,11,156303
276,2019-06,12,160444
277,2019-06,13,165378
278,2019-06,14,169800
279,2019-06,15,173712
280,2019-06,16,175006
281,2019-06,17,173037
282,2019-06,18,169697
283,2019-06,19,166341
284,2019-06,20,165077
285,2019-06,21,159284
286,2019-06,22,152925
287,2019-06,23,148990
