,month,TIME,F_MAX
0,1월,0,1627.880411999999
1,1월,1,1700.5535430000007
2,1월,2,1336.9645409999994
3,1월,3,1206.227499000002
4,1월,4,1187.0116639999999
5,1월,5,1172.129196
6,1월,6,1129.9115480000003
7,1월,7,1237.4653360000007
8,1월,8,1528.851882000001
9,1월,9,1929.952610000001
10,1월,10,2022.5869509999989
11,1월,11,2173.7700429999995
12,1월,12,2224.662909000002
13,1월,13,2167.0549889999993
14,1월,14,2469.7596700000004
15,1월,15,2417.5074959999997
16,1월,16,2353.7026669999977
17,1월,17,2399.005886999999
18,1월,18,2523.742123
19,1월,19,2439.1900789999995
20,1월,20,2266.1709539999993
21,1월,21,1987.3751999999997
22,1월,22,1765.1500689999996
23,1월,23,1719.091501
24,2월,0,2090.1697870000003
25,2월,1,2101.3859249999973
26,2월,2,1716.8457290000008
27,2월,3,1556.6945409999996
28,2월,4,1529.1607089999995
29,2월,5,1513.1094449999996
30,2월,6,1495.454586
31,2월,7,1751.9762659999983
32,2월,8,2142.49462
33,2월,9,2533.820112999999
34,2월,10,2887.6424060000036
35,2월,11,3236.872235000004
36,2월,12,3275.0831130000015
37,2월,13,3311.818337999998
38,2월,14,3874.997720999998
39,2월,15,4102.253777000001
40,2월,16,4206.0192689999985
41,2월,17,4013.574943000001
42,2월,18,3978.888035999999
43,2월,19,3548.9188729999996
44,2월,20,3206.0597150000012
45,2월,21,2895.473559
46,2월,22,2467.0997609999995
47,2월,23,2327.429653000001
48,3월,0,2262.526815
49,3월,1,1993.848929
50,3월,2,1615.0387340000002
51,3월,3,1587.2325169999995
52,3월,4,1619.548058
53,3월,5,1737.0397790000004
54,3월,6,1849.8358989999995
55,3월,7,2239.7237870000017
56,3월,8,2594.0905490000014
57,3월,9,3028.107276000001
58,3월,10,3196.382510999997
59,3월,11,3352.0949539999992
60,3월,12,3123.7329419999996
61,3월,13,3280.7187819999995
62,3월,14,3541.9408079999985
63,3월,15,3717.823350000001
64,3월,16,3636.458115999999
65,3월,17,3556.3051590000005
66,3월,18,3845.5176159999965
67,3월,19,3724.794466999997
68,3월,20,3731.989644000001
69,3월,21,3288.342862
70,3월,22,2949.244703
71,3월,23,2567.1249639999983
72,4월,0,2701.6219800000026
73,4월,1,2419.9377480000003
74,4월,2,2289.732430999999
75,4월,3,2215.4606850000005
76,4월,4,2233.188927000001
77,4월,5,2370.0353979999995
78,4월,6,2335.32038
79,4월,7,2718.2015020000013
80,4월,8,3119.7981969999983
81,4월,9,3636.659942999999
82,4월,10,3584.68331
83,4월,11,3669.607135000003
84,4월,12,4006.109420999999
85,4월,13,3767.5718839999986
86,4월,14,3651.868233
87,4월,15,3856.6603969999987
88,4월,16,3899.8049600000013
89,4월,17,3880.837860999999
90,4월,18,4018.5428399999996
91,4월,19,3970.2359970000007
92,4월,20,4099.613325
93,4월,21,3839.9042820000013
94,4월,22,3544.9119929999997
95,4월,23,3110.107087
96,5월,0,3012.4365619999994
97,5월,1,2709.7468640000016
98,5월,2,2538.4324619999975
99,5월,3,2366.4905160000008
100,5월,4,2313.327998
101,5월,5,2363.4591800000003
102,5월,6,2452.9104970000008
103,5월,7,2742.0310869999994
104,5월,8,3144.4166879999993
105,5월,9,3566.9934249999988
106,5월,10,3868.9032690000017
107,5월,11,3846.7746359999974
108,5월,12,3708.252236999999
109,5월,13,3765.411685000002
110,5월,14,3855.1439849999997
111,5월,15,4090.0263820000027
112,5월,16,4015.9709019999996
113,5월,17,4176.717424000001
114,5월,18,4184.697338000001
115,5월,19,4359.391202000001
116,5월,20,4314.849019999999
117,5월,21,4085.904030999998
118,5월,22,3738.2715230000003
119,5월,23,3167.439763000002
120,6월,0,2487.008127000001
121,6월,1,2233.8870190000002
122,6월,2,2054.4782730000006
123,6월,3,1930.6168600000012
124,6월,4,1846.7479680000004
125,6월,5,2043.1050660000008
126,6월,6,1996.5683659999997
127,6월,7,2244.157459000002
128,6월,8,2626.0811579999986
129,6월,9,3274.4882190000017
130,6월,10,3678.488179999999
131,6월,11,3578.363098000002
132,6월,12,3399.323438999999
133,6월,13,3358.5865959999996
134,6월,14,3555.240543999999
135,6월,15,3536.864521
136,6월,16,3673.7022789999987
137,6월,17,3833.6655689999993
138,6월,18,3697.987855999998
139,6월,19,3539.430633999999
140,6월,20,3671.435343000002
141,6월,21,3628.955167
142,6월,22,3092.9979260000023
143,6월,23,2655.211194000002
144,7월,0,1781.9542140000005
145,7월,1,1670.680962999999
146,7월,2,1217.014796
147,7월,3,1172.543814
148,7월,4,1165.7949540000002
149,7월,5,1221.6087269999998
150,7월,6,1366.5580700000003
151,7월,7,1510.2648449999997
152,7월,8,1612.690134
153,7월,9,1649.869857999999
154,7월,10,1751.360511
155,7월,11,1807.4400020000012
156,7월,12,1848.122438
157,7월,13,1910.5586800000003
158,7월,14,1884.1673600000001
159,7월,15,2039.0633390000014
160,7월,16,2181.028946
161,7월,17,2350.3925280000003
162,7월,18,2241.4781659999994
163,7월,19,2224.2593089999978
164,7월,20,2215.0091070000003
165,7월,21,2302.6282840000017
166,7월,22,2114.210607999999
167,7월,23,1894.9067700000005
168,8월,0,1927.2141479999998
169,8월,1,1762.510886999999
170,8월,2,1674.3115170000003
171,8월,3,1697.134528
172,8월,4,1801.5199340000004
173,8월,5,1811.966696000001
174,8월,6,1813.6492019999998
175,8월,7,2014.9256530000005
176,8월,8,2250.9707990000015
177,8월,9,2344.2703200000014
178,8월,10,2380.198015
179,8월,11,2282.617348999999
180,8월,12,2471.7086459999996
181,8월,13,2276.1457879999994
182,8월,14,2261.863057
183,8월,15,2271.534760000001
184,8월,16,2406.6342040000013
185,8월,17,2508.5151199999996
186,8월,18,2749.4663380000006
187,8월,19,2911.2275499999996
188,8월,20,2724.1221769999997
189,8월,21,2619.4879100000003
190,8월,22,2350.217824000001
191,8월,23,2110.0483270000004
192,9월,0,1925.7121319999994
193,9월,1,1744.5526059999997
194,9월,2,1710.0485470000008
195,9월,3,1579.748120999999
196,9월,4,1601.4826419999995
197,9월,5,1697.4022600000003
198,9월,6,1821.8621369999992
199,9월,7,1967.474487
200,9월,8,2167.5130940000004
201,9월,9,2397.5996009999994
202,9월,10,2435.1731910000003
203,9월,11,2417.979029999998
204,9월,12,2460.295736000001
205,9월,13,2457.610044999999
206,9월,14,2528.304952000004
207,9월,15,2552.1514099999995
208,9월,16,2648.503053999999
209,9월,17,2687.0192320000006
210,9월,18,2773.135863000002
211,9월,19,2746.1288339999996
212,9월,20,2880.013035000001
213,9월,21,2542.7682429999977
214,9월,22,2458.1841639999993
215,9월,23,2280.0191520000008
216,10월,0,3304.482923000001
217,10월,1,3050.9613030000028
218,10월,2,2738.3075270000013
219,10월,3,2614.895798999999
220,10월,4,2647.768346000001
221,10월,5,2728.824372
222,10월,6,2995.5988580000017
223,10월,7,3278.794923
224,10월,8,4187.736486
225,10월,9,4111.600836000001
226,10월,10,4418.1235689999985
227,10월,11,4391.258517999999
228,10월,12,4050.5859929999997
229,10월,13,4051.2965579999977
230,10월,14,4149.675790999998
231,10월,15,4315.860096999994
232,10월,16,4352.944003000001
233,10월,17,4367.844809000001
234,10월,18,4195.431006000001
235,10월,19,4268.709222000001
236,10월,20,4315.434590999998
237,10월,21,4455.230696999997
238,10월,22,4085.8900080000017
239,10월,23,3680.328358
240,11월,0,2293.9794320000005
241,11월,1,2064.071224
242,11월,2,1899.7923850000004
243,11월,3,1826.5642199999988
244,11월,4,1868.2199949999997
245,11월,5,1880.9540850000008
246,11월,6,2029.6131410000005
247,11월,7,2226.673558
248,11월,8,2722.1819350000014
249,11월,9,3581.946410000001
250,11월,10,3503.3227319999983
251,11월,11,3667.423945999999
252,11월,12,3778.8889710000003
253,11월,13,3813.049001000002
254,11월,14,4029.6327000000006
255,11월,15,4187.292188
256,11월,16,4120.422684000003
257,11월,17,3849.030234
258,11월,18,3319.374317
259,11월,19,3035.1925989999995
260,11월,20,3388.9307880000033
261,11월,21,2994.9401870000006
262,11월,22,2848.174719
263,11월,23,2486.04322
264,12월,0,1650.4877300000005
265,12월,1,1591.0854700000011
266,12월,2,1481.3732850000004
267,12월,3,1424.6275910000002
268,12월,4,1525.4541820000002
269,12월,5,1514.7431919999992
270,12월,6,1637.843647
271,12월,7,1849.8142569999998
272,12월,8,2150.664841000002
273,12월,9,2245.275129999998
274,12월,10,2275.2942110000013
275,12월,11,2396.9070729999994
276,12월,12,2346.275979000002
277,12월,13,2419.450723
278,12월,14,2526.1651759999995
279,12월,15,2462.3762780000006
280,12월,16,2460.7939270000015
281,12월,17,2610.282304
282,12월,18,2601.235461
283,12월,19,2671.958318999999
284,12월,20,2489.4806529999996
285,12월,21,2113.112209000001
286,12월,22,2134.0491349999998
287,12월,23,1922.475728999999
