,adm_dr_nm,TIME,A_MAX
0,송정동,0,18409
1,송정동,1,17839
2,송정동,2,17342
3,송정동,3,17018
4,송정동,4,16900
5,송정동,5,16778
6,송정동,6,16836
7,송정동,7,18100
8,송정동,8,18583
9,송정동,9,17476
10,송정동,10,19389
11,송정동,11,22369
12,송정동,12,27384
13,송정동,13,32810
14,송정동,14,37920
15,송정동,15,40349
16,송정동,16,39525
17,송정동,17,38982
18,송정동,18,34862
19,송정동,19,30164
20,송정동,20,26412
21,송정동,21,23134
22,송정동,22,20119
23,송정동,23,19230
24,우1동,0,37536
25,우1동,1,38074
26,우1동,2,38522
27,우1동,3,38619
28,우1동,4,38426
29,우1동,5,38097
30,우1동,6,37509
31,우1동,7,36605
32,우1동,8,35928
33,우1동,9,35410
34,우1동,10,34070
35,우1동,11,32322
36,우1동,12,30664
37,우1동,13,29293
38,우1동,14,28985
39,우1동,15,29010
40,우1동,16,29441
41,우1동,17,29665
42,우1동,18,30330
43,우1동,19,31169
44,우1동,20,32263
45,우1동,21,33752
46,우1동,22,35297
47,우1동,23,36498
48,우2동,0,46123
49,우2동,1,42976
50,우2동,2,41114
51,우2동,3,40843
52,우2동,4,40105
53,우2동,5,40093
54,우2동,6,40941
55,우2동,7,42975
56,우2동,8,52114
57,우2동,9,56382
58,우2동,10,65291
59,우2동,11,73587
60,우2동,12,81575
61,우2동,13,85041
62,우2동,14,88284
63,우2동,15,86879
64,우2동,16,85403
65,우2동,17,79595
66,우2동,18,73406
67,우2동,19,68731
68,우2동,20,66482
69,우2동,21,56128
70,우2동,22,50253
71,우2동,23,46554
72,우3동,0,20803
73,우3동,1,21000
74,우3동,2,20888
75,우3동,3,20853
76,우3동,4,20763
77,우3동,5,20570
78,우3동,6,20447
79,우3동,7,20168
80,우3동,8,20558
81,우3동,9,22039
82,우3동,10,21590
83,우3동,11,21752
84,우3동,12,20231
85,우3동,13,19168
86,우3동,14,18820
87,우3동,15,18508
88,우3동,16,18243
89,우3동,17,18599
90,우3동,18,18635
91,우3동,19,18629
92,우3동,20,19153
93,우3동,21,19783
94,우3동,22,20211
95,우3동,23,20549
96,중1동,0,57840
97,중1동,1,57896
98,중1동,2,57377
99,중1동,3,57508
100,중1동,4,57165
101,중1동,5,56855
102,중1동,6,56383
103,중1동,7,56782
104,중1동,8,56255
105,중1동,9,55094
106,중1동,10,54924
107,중1동,11,54210
108,중1동,12,53023
109,중1동,13,52501
110,중1동,14,52198
111,중1동,15,52826
112,중1동,16,53573
113,중1동,17,53905
114,중1동,18,55283
115,중1동,19,59164
116,중1동,20,60361
117,중1동,21,62094
118,중1동,22,58516
119,중1동,23,58271
120,중2동,0,14910
121,중2동,1,14961
122,중2동,2,14831
123,중2동,3,14734
124,중2동,4,14801
125,중2동,5,14795
126,중2동,6,14755
127,중2동,7,15036
128,중2동,8,15157
129,중2동,9,14646
130,중2동,10,14642
131,중2동,11,14825
132,중2동,12,14888
133,중2동,13,15256
134,중2동,14,15412
135,중2동,15,15489
136,중2동,16,15781
137,중2동,17,15291
138,중2동,18,15014
139,중2동,19,15059
140,중2동,20,15455
141,중2동,21,15897
142,중2동,22,15074
143,중2동,23,14795
