,adm_dr_nm,STD_YM,A_MAX
0,송정동,2018-07,27317
1,송정동,2018-08,29793
2,송정동,2018-09,36927
3,송정동,2018-10,32409
4,송정동,2018-11,29931
5,송정동,2018-12,29868
6,송정동,2019-01,23204
7,송정동,2019-02,21931
8,송정동,2019-03,19938
9,송정동,2019-04,21459
10,송정동,2019-05,21436
11,송정동,2019-06,28346
12,우1동,2018-07,22532
13,우1동,2018-08,23707
14,우1동,2018-09,22113
15,우1동,2018-10,22302
16,우1동,2018-11,21817
17,우1동,2018-12,28049
18,우1동,2019-01,27821
19,우1동,2019-02,28101
20,우1동,2019-03,30708
21,우1동,2019-04,30602
22,우1동,2019-05,34529
23,우1동,2019-06,35526
24,우2동,2018-07,60036
25,우2동,2018-08,60675
26,우2동,2018-09,66233
27,우2동,2018-10,63273
28,우2동,2018-11,85666
29,우2동,2018-12,72795
30,우2동,2019-01,56228
31,우2동,2019-02,56800
32,우2동,2019-03,55871
33,우2동,2019-04,61195
34,우2동,2019-05,49337
35,우2동,2019-06,49278
36,우3동,2018-07,17078
37,우3동,2018-08,19122
38,우3동,2018-09,19444
39,우3동,2018-10,19083
40,우3동,2018-11,19819
41,우3동,2018-12,17611
42,우3동,2019-01,16344
43,우3동,2019-02,17054
44,우3동,2019-03,21284
45,우3동,2019-04,18308
46,우3동,2019-05,18031
47,우3동,2019-06,17195
48,중1동,2018-07,45570
49,중1동,2018-08,50040
50,중1동,2018-09,47692
51,중1동,2018-10,46557
52,중1동,2018-11,46188
53,중1동,2018-12,51456
54,중1동,2019-01,51068
55,중1동,2019-02,51352
56,중1동,2019-03,57738
57,중1동,2019-04,46895
58,중1동,2019-05,56043
59,중1동,2019-06,50477
60,중2동,2018-07,9875
61,중2동,2018-08,10775
62,중2동,2018-09,11021
63,중2동,2018-10,10998
64,중2동,2018-11,11124
65,중2동,2018-12,12862
66,중2동,2019-01,11883
67,중2동,2019-02,9970
68,중2동,2019-03,14713
69,중2동,2019-04,13229
70,중2동,2019-05,11487
71,중2동,2019-06,11301
