INDEX_ID,A_MAX
마라15aa69bb,141
마라15ab69ab,66
마라15ab69ba,76
마라15ba69ab,24
마라15ba69ba,59
마라15bb69ab,17
마라15bb69ba,66
마라16aa69ab,4
마라16aa69ba,43
마라16ab69ab,6
마라16ab69ba,140
마라17ba75ba,0
마라17bb74bb,44
마라17bb75aa,0
마라17bb75ba,0
마라18ab73ab,0
마라18ab73bb,0
마라18ab74aa,43
마라18ab84bb,0
마라18ba73bb,1
마라18ba74aa,9
마라18ba75aa,52
마라18ba75ab,2
마라18ba84ab,0
마라18bb73bb,17
마라18bb74aa,12
마라18bb75aa,24
마라18bb75ab,6
마라18bb84ab,0
마라18bb84ba,0
마라19aa70ab,31
마라19aa70ba,13
마라19aa71ba,0
마라19aa72bb,0
마라19aa73aa,8
마라19aa73ab,6
마라19aa73ba,9
마라19aa74aa,52
마라19aa74ab,38
마라19aa74ba,3
마라19aa74bb,17
마라19aa75aa,21
마라19aa75ab,8
마라19aa84ab,0
마라19aa84ba,0
마라19aa84bb,0
마라19ab70ab,55
마라19ab70ba,42
마라19ab71ab,0
마라19ab71ba,0
마라19ab71bb,0
마라19ab72ba,3
마라19ab72bb,12
마라19ab73aa,5
마라19ab73ab,15
마라19ab73ba,2
마라19ab74ba,1
마라19ab74bb,17
마라19ab75aa,6
마라19ab75ab,19
마라19ab75ba,6
마라19ab83ab,0
마라19ab84ab,15
마라19ab84ba,183
마라19ab84bb,36
마라19ab85aa,2
마라19ab85ab,0
마라19ba70aa,0
마라19ba70ab,0
마라19ba70ba,0
마라19ba71ab,32
마라19ba71ba,25
마라19ba71bb,22
마라19ba72aa,62
마라19ba72ab,1
마라19ba72ba,9
마라19ba72bb,2
마라19ba73aa,0
마라19ba73ab,2
마라19ba73ba,0
마라19ba74ba,0
마라19ba74bb,4
마라19ba75aa,33
마라19ba75ab,20
마라19ba75ba,8
마라19ba76ba,77
마라19ba76bb,59
마라19ba77aa,44
마라19ba83aa,43
마라19ba83ab,53
마라19ba83ba,5
마라19ba84ab,9
마라19ba84ba,124
마라19ba84bb,73
마라19ba85aa,10
마라19ba85ab,1
마라19bb70aa,0
마라19bb70ab,0
마라19bb70ba,37
마라19bb70bb,148
마라19bb71aa,514
마라19bb71ab,129
마라19bb71ba,5
마라19bb72aa,28
마라19bb72ab,2
마라19bb72bb,0
마라19bb74ba,0
마라19bb74bb,0
마라19bb75aa,40
마라19bb75ba,37
마라19bb76ba,86
마라19bb76bb,51
마라19bb77aa,31
마라19bb83aa,71
마라19bb83ab,114
마라19bb83ba,18
마라19bb84aa,0
마라19bb84ab,8
마라19bb84ba,118
마라19bb84bb,269
마라19bb85aa,39
마라19bb85ab,6
마라20aa70aa,0
마라20aa70ab,0
마라20aa70ba,111
마라20aa70bb,431
마라20aa71aa,287
마라20aa71ab,12
마라20aa71ba,1
마라20aa72aa,0
마라20aa72ab,0
마라20aa74ba,0
마라20aa74bb,3
마라20aa75aa,65
마라20aa75ab,4
마라20aa75ba,27
마라20aa76ba,29
마라20aa76bb,38
마라20aa77aa,48
마라20aa77ab,12
마라20aa83aa,0
마라20aa83ab,16
마라20aa83ba,0
마라20aa84ab,0
마라20aa84ba,134
마라20aa84bb,98
마라20aa85aa,9
마라20aa85ab,11
마라20ab68aa,0
마라20ab68ab,0
마라20ab68ba,0
마라20ab69aa,0
마라20ab69bb,0
마라20ab70ab,0
마라20ab70ba,11
마라20ab70bb,30
마라20ab71aa,229
마라20ab71ab,26
마라20ab71ba,13
마라20ab71bb,14
마라20ab72aa,0
마라20ab72ab,0
마라20ab74ba,3
마라20ab74bb,26
마라20ab75aa,83
마라20ab75ab,71
마라20ab75ba,83
마라20ab76ba,48
마라20ab76bb,57
마라20ab77aa,69
마라20ab77ab,79
마라20ab77ba,3
마라20ab78bb,424
마라20ab82bb,0
마라20ab83aa,0
마라20ab83ab,42
마라20ab83ba,27
마라20ab84ab,0
마라20ab84ba,123
마라20ab84bb,20
마라20ab85ab,1
마라20ba67ab,11
마라20ba68ab,0
마라20ba68ba,0
마라20ba68bb,0
마라20ba69aa,0
마라20ba70aa,0
마라20ba70ab,4
마라20ba70ba,1
마라20ba70bb,0
마라20ba71aa,43
마라20ba71ab,36
마라20ba71ba,77
마라20ba71bb,18
마라20ba72aa,0
마라20ba72ab,0
마라20ba72ba,0
마라20ba73ab,0
마라20ba74ba,0
마라20ba74bb,15
마라20ba75aa,120
마라20ba75ab,119
마라20ba75ba,98
마라20ba75bb,13
마라20ba76ba,60
마라20ba76bb,74
마라20ba77aa,79
마라20ba77ab,107
마라20ba77ba,23
마라20ba78ab,0
마라20ba78ba,21
마라20ba78bb,219
마라20ba79aa,658
마라20ba79ab,187
마라20ba83ab,11
마라20ba83ba,102
마라20ba83bb,72
마라20ba84aa,72
마라20ba84ab,12
마라20ba84ba,107
마라20ba84bb,10
마라20ba85ab,0
마라20bb67ab,15
마라20bb68ab,0
마라20bb68ba,17
마라20bb68bb,12
마라20bb69aa,25
마라20bb69ab,14
마라20bb69ba,0
마라20bb69bb,3
마라20bb70aa,0
마라20bb70ab,0
마라20bb70ba,1
마라20bb70bb,0
마라20bb71aa,0
마라20bb71ab,2
마라20bb71ba,28
마라20bb71bb,3
마라20bb72aa,0
마라20bb72ab,0
마라20bb72ba,0
마라20bb72bb,0
마라20bb73aa,0
마라20bb73ab,149
마라20bb73ba,107
마라20bb73bb,0
마라20bb74aa,0
마라20bb74ab,0
마라20bb75aa,16
마라20bb75ab,118
마라20bb75ba,75
마라20bb75bb,37
마라20bb76ba,70
마라20bb76bb,120
마라20bb77aa,67
마라20bb77ab,88
마라20bb77ba,42
마라20bb77bb,11
마라20bb78ab,52
마라20bb78ba,107
마라20bb78bb,157
마라20bb79aa,139
마라20bb79ab,337
마라20bb83ab,0
마라20bb83ba,4
마라20bb83bb,65
마라20bb84aa,91
마라20bb84ab,12
마라20bb84ba,53
마라20bb84bb,8
마라20bb85aa,0
마라21aa66bb,242
마라21aa68aa,7
마라21aa68ab,0
마라21aa68ba,0
마라21aa68bb,2
마라21aa69aa,43
마라21aa69ab,240
마라21aa69ba,37
마라21aa69bb,0
마라21aa70ba,0
마라21aa71aa,0
마라21aa71ba,0
마라21aa71bb,0
마라21aa72aa,0
마라21aa72ab,1
마라21aa72ba,0
마라21aa72bb,0
마라21aa73aa,3
마라21aa73ab,3
마라21aa73ba,118
마라21aa73bb,30
마라21aa74aa,0
마라21aa74ab,0
마라21aa74ba,0
마라21aa75ab,84
마라21aa75ba,76
마라21aa75bb,51
마라21aa76ba,91
마라21aa76bb,85
마라21aa77aa,83
마라21aa77ab,85
마라21aa77ba,69
마라21aa77bb,21
마라21aa78aa,87
마라21aa78ab,99
마라21aa78ba,149
마라21aa78bb,218
마라21aa79aa,95
마라21aa79ab,23
마라21aa83ba,6
마라21aa83bb,11
마라21aa84aa,152
마라21aa84ab,207
마라21aa84ba,380
마라21aa84bb,104
마라21aa85aa,0
마라21ab66bb,78
마라21ab67aa,76
마라21ab67ab,4
마라21ab67ba,1
마라21ab68ab,0
마라21ab68ba,1
마라21ab69aa,4
마라21ab69ab,27
마라21ab69ba,3
마라21ab69bb,0
마라21ab70ba,0
마라21ab71ab,0
마라21ab71ba,0
마라21ab72ab,0
마라21ab72ba,0
마라21ab72bb,1
마라21ab73aa,0
마라21ab73ab,87
마라21ab73ba,109
마라21ab73bb,333
마라21ab74aa,24
마라21ab74ab,9
마라21ab74ba,4
마라21ab74bb,0
마라21ab75aa,3
마라21ab75ab,110
마라21ab75ba,111
마라21ab75bb,62
마라21ab76aa,22
마라21ab76ab,28
마라21ab76ba,79
마라21ab76bb,127
마라21ab77aa,106
마라21ab77ab,78
마라21ab77ba,91
마라21ab77bb,193
마라21ab78aa,89
마라21ab78ab,140
마라21ab78ba,176
마라21ab78bb,148
마라21ab79aa,130
